                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5006,                 4.6231,                 2.1981,                      0,                      0,                      0,                      0,                 3.0568,                 4.8592,                 2.3847,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 2.1274,                 4.5865,                 1.8989,                      0,                      0,                      0,                      0,                 2.8131,                 4.6514,                 2.1592,             7.1309e-05,             7.1309e-05,             7.1309e-05
                      3,                  1.963,                 4.1959,                  1.738,                 0.0043,                0.22727,                0.00771,                0.00141,                 2.4761,                 4.4995,                 1.8628,             0.00011387,             0.00011387,             0.00011387
                      4,                 1.8224,                 3.8186,                 1.5613,                0.00642,                0.55303,                0.07082,                0.03071,                 1.9778,                 4.1598,                  1.464,             0.00015626,             0.00015626,             0.00015626
                      5,                 1.5611,                 3.0919,                 1.2983,                0.00883,                0.80303,                0.41646,                 0.2274,                 1.4805,                 3.7425,                 1.1949,             0.00019848,             0.00019848,             0.00019848
                      6,                 1.7147,                   2.69,                 1.3636,                0.71339,                0.45455,                0.50168,                0.27833,                  1.413,                 3.4418,                 1.1482,             0.00024052,             0.00024052,             0.00024052
                      7,                 1.5972,                 2.3426,                 1.3239,                      1,                0.24303,                0.62413,                0.35422,                 1.4479,                 3.1949,                 1.1592,              0.0002824,              0.0002824,              0.0002824
                      8,                 1.5283,                 2.1201,                 1.2696,                      1,                0.23855,                0.64899,                0.30175,                 1.5513,                 3.1791,                   1.19,             0.00032411,             0.00032411,             0.00032411
                      9,                 1.5286,                 1.9376,                 1.2541,                0.01093,                0.91667,                0.67143,                0.33655,                 1.4811,                 3.1712,                 1.1562,             0.00036565,             0.00036565,             0.00036565
                     10,                 1.4872,                 2.0864,                 1.2663,                0.01075,                0.91667,                0.74676,                0.42605,                 1.3697,                 3.1396,                 1.1514,             0.00040703,             0.00040703,             0.00040703
                     11,                 1.4392,                 1.8223,                  1.214,                0.00989,                0.90152,                0.61901,                0.32612,                 1.4907,                 3.2222,                  1.252,             0.00044823,             0.00044823,             0.00044823
                     12,                 1.4528,                 1.7929,                 1.2743,                0.42855,                0.64394,                0.63253,                0.32927,                 1.4822,                 3.2326,                 1.2787,             0.00048926,             0.00048926,             0.00048926
                     13,                 1.3663,                 1.6639,                 1.2076,                      1,                0.22928,                0.51633,                0.28112,                 1.4762,                 3.3673,                 1.3438,             0.00053012,             0.00053012,             0.00053012
                     14,                 1.3717,                 1.4973,                 1.1815,                0.00827,                   0.75,                0.49396,                0.26069,                 1.4724,                 3.5373,                 1.3591,             0.00057081,             0.00057081,             0.00057081
                     15,                 1.4412,                 1.6323,                 1.3004,                0.00887,                0.76515,                0.37223,                 0.1573,                 1.5653,                 4.0457,                 1.6697,             0.00061133,             0.00061133,             0.00061133
                     16,                 1.3734,                 1.6703,                 1.2609,                0.00869,                0.76515,                0.40754,                0.13105,                 1.5775,                 4.1765,                 1.7803,             0.00065168,             0.00065168,             0.00065168
                     17,                 1.4067,                 1.4316,                 1.2151,                      1,                0.22962,                0.69827,                0.37569,                 1.5033,                 3.2473,                 1.3169,             0.00069186,             0.00069186,             0.00069186
                     18,                 1.3643,                 1.3305,                 1.1901,                      1,                0.23928,                0.73634,                0.44069,                 1.4334,                 2.9957,                 1.2583,             0.00073188,             0.00073188,             0.00073188
                     19,                 1.3761,                 1.3421,                  1.196,                      1,                0.29478,                  0.728,                0.41491,                 1.4657,                 3.0553,                 1.2725,             0.00077172,             0.00077172,             0.00077172
                     20,                 1.2751,                 1.3431,                 1.1642,                      1,                0.20521,                0.73965,                0.39879,                 1.5297,                 3.0279,                 1.3112,             0.00081139,             0.00081139,             0.00081139
                     21,                 1.5093,                 1.4445,                  1.217,                      1,                0.29852,                0.79794,                0.43498,                 1.4926,                 2.8326,                 1.3037,              0.0008509,              0.0008509,              0.0008509
                     22,                 1.4154,                 1.4153,                 1.2212,                0.97924,                0.58849,                0.81258,                0.45736,                 1.4923,                 2.5521,                 1.3102,             0.00089023,             0.00089023,             0.00089023
                     23,                 1.4131,                 1.3131,                 1.2454,                0.99199,                 0.6311,                0.85615,                0.46267,                 1.4903,                 2.4493,                 1.3313,             0.00092939,             0.00092939,             0.00092939
                     24,                 1.3114,                  1.217,                 1.1711,                0.99611,                0.48062,                0.84107,                0.44994,                   1.46,                 2.4797,                 1.2959,             0.00096839,             0.00096839,             0.00096839
                     25,                 1.2675,                 1.2224,                 1.1245,                      1,                0.41703,                0.79285,                0.43996,                 1.4857,                 2.5554,                 1.2701,              0.0010072,              0.0010072,              0.0010072
                     26,                 1.3041,                 1.1871,                 1.1262,                      1,                0.31904,                0.76458,                 0.4273,                 1.5112,                 2.5777,                 1.2631,              0.0010459,              0.0010459,              0.0010459
                     27,                 1.3797,                 1.1995,                 1.1518,                      1,                0.23502,                0.75635,                0.43357,                 1.4594,                 2.5397,                  1.232,              0.0010843,              0.0010843,              0.0010843
                     28,                 1.2914,                 1.1939,                 1.1232,                      1,                0.45904,                 0.7517,                0.40105,                 1.5451,                  2.334,                 1.3047,              0.0011227,              0.0011227,              0.0011227
                     29,                 1.3001,                 1.1952,                 1.1617,                      1,                0.45904,                 0.7517,                0.40105,                 1.5451,                  2.334,                 1.3047,              0.0011608,              0.0011608,              0.0011608
                     30,                 1.2916,                 1.1313,                 1.1464,                      1,                0.56191,                0.75294,                0.38512,                 1.6331,                 2.2437,                 1.3467,              0.0011988,              0.0011988,              0.0011988
