Index,CPU,GPU,RAM
0,0.0,0.0,73.8
1,8.0,0.0,73.8
2,16.7,0.0,73.8
3,16.7,0.0,73.8
4,16.0,0.0,73.8
5,8.7,0.0,73.8
6,15.0,0.0,73.8
7,8.7,0.0,73.8
8,4.8,0.0,73.8
9,16.0,0.0,73.8
10,12.5,0.0,73.8
11,12.5,0.0,73.8
12,16.7,0.0,73.8
13,8.3,0.0,73.8
14,12.5,0.0,73.8
15,4.2,0.0,73.8
16,8.3,0.0,73.8
17,12.5,0.0,73.8
18,17.4,0.0,73.8
19,15.4,0.0,73.8
20,8.7,0.0,73.8
21,16.7,0.0,73.8
22,13.0,0.0,73.8
23,10.0,0.0,73.8
24,8.3,0.0,73.8
25,3.7,0.0,73.8
26,19.0,0.0,73.8
27,12.0,0.0,73.8
28,4.8,0.0,73.8
29,16.7,0.0,73.8
30,8.3,0.0,73.8
31,12.5,0.0,73.8
32,12.5,0.0,73.8
33,12.5,0.0,73.8
34,8.3,0.0,73.8
35,8.3,0.0,73.8
36,12.5,0.0,73.8
37,8.3,0.0,73.8
38,12.5,0.0,73.8
39,8.3,0.0,73.8
40,16.7,0.0,73.8
41,20.8,0.0,73.8
42,20.8,0.0,73.8
43,17.4,0.0,73.8
44,13.6,0.0,73.8
45,19.2,0.0,73.8
46,15.2,0.0,73.8
47,15.6,0.0,73.8
48,12.5,0.0,73.8
49,16.7,0.0,73.8
50,4.3,0.0,73.8
51,8.7,0.0,73.8
52,10.0,0.0,73.8
53,17.4,0.0,73.8
54,25.0,0.0,73.8
55,4.2,0.0,73.8
56,12.0,0.0,73.8
57,8.3,0.0,73.8
58,8.3,0.0,73.8
59,8.3,0.0,73.8
60,12.5,0.0,73.8
61,12.5,0.0,73.8
62,8.7,0.0,73.8
63,12.5,0.0,73.8
64,16.7,0.0,73.8
65,16.7,0.0,73.8
66,16.7,0.0,73.8
67,8.0,0.0,73.8
68,16.0,0.0,73.8
69,20.8,0.0,73.8
70,21.1,0.0,73.8
71,26.1,0.0,73.8
72,18.2,0.0,73.7
73,16.7,0.0,73.8
74,16.7,0.0,73.8
75,12.5,0.0,73.8
76,8.3,0.0,73.8
77,12.5,0.0,73.8
78,8.3,0.0,73.8
79,12.5,0.0,73.8
80,16.7,0.0,73.8
81,12.5,0.0,73.8
82,8.3,0.0,73.8
83,16.7,0.0,73.8
84,8.3,0.0,73.8
85,16.7,0.0,73.8
86,16.7,0.0,73.8
87,8.3,0.0,73.8
88,12.5,0.0,73.8
89,4.2,0.0,73.8
90,12.5,0.0,73.8
91,20.8,0.0,73.8
92,3.3,0.0,73.8
93,16.7,0.0,73.8
94,11.1,0.0,73.8
95,11.5,0.0,73.8
96,9.5,0.0,73.8
97,10.7,0.0,73.8
98,9.5,0.0,73.8
99,21.4,0.0,73.8
100,5.9,0.0,73.7
101,16.7,0.0,73.8
102,16.7,0.0,73.8
103,8.3,0.0,73.8
104,12.5,0.0,73.8
105,12.5,0.0,73.8
106,11.1,0.0,73.8
107,6.9,0.0,73.8
108,9.4,0.0,73.8
109,16.7,0.0,73.8
110,12.5,0.0,73.8
111,8.3,0.0,73.8
112,16.7,0.0,73.8
113,12.5,0.0,73.8
114,12.9,0.0,73.8
115,16.0,0.0,73.8
116,8.3,0.0,73.8
117,8.3,0.0,73.8
118,12.5,0.0,73.8
119,8.3,0.0,73.8
120,12.5,0.0,73.8
121,12.5,0.0,73.8
122,8.3,0.0,73.8
123,8.3,0.0,73.8
124,21.7,0.0,73.8
125,12.5,0.0,73.8
126,12.5,0.0,73.8
127,16.7,0.0,73.8
128,12.5,0.0,73.8
129,25.0,0.0,73.8
130,8.3,0.0,73.7
131,23.8,0.0,73.8
132,13.0,0.0,73.8
133,4.0,0.0,73.8
134,13.0,0.0,73.8
135,13.6,0.0,73.8
136,0.0,0.0,73.8
137,12.5,0.0,73.8
138,8.3,0.0,73.8
139,9.4,0.0,73.8
140,6.2,0.0,73.8
141,8.3,0.0,73.9
142,16.7,0.0,73.9
143,8.7,0.0,74.0
144,16.7,0.0,74.0
145,20.0,0.0,74.0
146,17.4,0.0,74.1
147,13.6,0.0,74.7
148,19.2,0.0,75.0
149,17.4,0.0,75.1
150,15.4,0.0,75.3
151,16.7,0.0,75.4
152,34.4,0.0,75.4
153,15.6,0.0,75.5
154,16.7,0.0,75.5
155,20.8,0.0,75.5
156,16.7,0.0,75.5
157,12.5,0.0,75.5
158,12.5,0.0,75.6
159,8.3,0.0,75.6
160,37.5,0.0,75.6
161,17.4,0.0,75.7
162,12.0,0.0,75.8
163,15.8,0.0,75.8
164,3.8,0.0,75.8
165,9.1,0.0,75.9
166,13.0,0.0,75.9
167,17.4,0.0,75.9
168,12.5,0.0,75.9
169,4.2,0.0,76.0
170,8.3,0.0,76.0
171,16.7,0.0,76.0
172,12.5,0.0,76.0
173,8.3,0.0,76.0
174,8.3,0.0,76.0
175,8.7,0.0,76.0
176,8.0,0.0,76.0
177,12.5,0.0,76.1
178,27.3,0.0,76.0
179,26.1,0.0,76.0
180,22.7,0.0,76.0
181,12.0,0.0,76.0
182,22.7,0.0,76.0
183,13.6,0.0,76.0
184,16.7,0.0,76.0
185,8.3,0.0,76.0
186,8.3,0.0,76.0
187,16.7,0.0,76.0
188,12.5,0.0,76.0
189,12.5,0.0,76.0
190,12.5,0.0,76.1
191,12.5,0.0,76.1
192,20.8,0.0,76.0
193,13.0,0.0,76.0
194,29.2,0.0,76.0
195,16.7,0.0,76.1
196,14.3,0.0,76.1
197,19.4,0.0,76.1
198,23.1,0.0,76.1
199,5.3,0.0,76.1
200,16.7,0.0,76.1
201,12.5,0.0,76.2
202,8.3,0.0,76.2
203,20.8,0.0,76.2
204,12.5,0.0,76.2
205,16.7,0.0,76.2
206,12.5,0.0,76.3
207,20.8,0.0,76.3
208,21.7,0.0,76.2
209,8.0,0.0,76.2
210,12.5,0.0,76.3
211,20.0,0.0,76.3
212,12.5,0.0,76.3
213,12.5,0.0,76.3
214,16.7,0.0,76.3
215,8.3,0.0,76.3
216,16.7,0.0,76.3
217,18.2,0.0,76.3
218,17.4,0.0,76.3
219,8.7,0.0,76.4
220,15.0,0.0,76.4
221,12.5,0.0,76.4
222,12.5,0.0,76.4
223,16.7,0.0,76.4
224,12.5,0.0,76.5
225,20.8,0.0,76.5
226,25.0,0.0,76.5
227,12.5,0.0,76.5
228,8.3,0.0,76.5
229,8.3,0.0,76.5
230,0.0,0.0,76.5
231,8.3,0.0,76.5
232,28.0,0.0,76.6
233,8.3,0.0,76.5
234,8.7,0.0,76.5
235,15.0,0.0,76.6
236,4.2,0.0,76.6
237,4.8,0.0,76.5
238,12.5,0.0,76.5
239,4.2,0.0,76.5
240,12.5,0.0,76.5
241,12.5,0.0,76.5
242,8.3,0.0,76.5
243,8.3,0.0,76.6
244,12.5,0.0,76.6
245,12.5,0.0,76.6
246,12.5,0.0,76.7
247,12.5,0.0,76.7
248,8.3,0.0,76.7
249,16.7,0.0,76.7
250,8.7,0.0,76.7
251,8.0,0.0,76.7
252,9.1,0.0,76.7
253,12.0,0.0,76.7
254,4.5,0.0,76.8
255,7.7,0.0,76.8
256,4.8,0.0,76.8
257,7.4,0.0,76.9
258,22.9,0.0,77.0
259,0.0,0.0,77.0
260,6.2,0.0,77.0
261,9.4,0.0,77.0
262,8.3,0.0,77.0
263,16.7,0.0,77.0
264,13.0,0.0,77.0
265,12.5,0.0,76.9
266,12.0,0.0,76.9
267,4.2,0.0,76.9
268,12.5,0.0,76.9
269,4.2,0.0,76.9
270,8.3,0.0,77.0
271,50.0,0.0,77.0
272,30.8,0.0,77.0
273,12.5,0.0,77.0
274,12.5,0.0,77.0
275,12.5,0.0,77.0
276,8.3,0.0,77.0
277,4.2,0.0,77.1
278,8.3,0.0,77.1
279,8.3,0.0,77.1
280,12.5,0.0,77.1
281,8.3,0.0,77.1
282,8.3,0.0,77.2
283,8.3,0.0,77.2
284,8.3,0.0,77.2
285,8.3,0.0,77.2
286,21.7,0.0,77.2
287,13.0,0.0,77.3
288,12.1,0.0,77.3
289,59.5,0.0,77.5
290,66.7,0.0,77.8
291,25.0,0.0,78.1
292,12.5,0.0,78.4
293,18.8,0.0,78.8
294,12.5,0.0,79.1
295,12.5,0.0,79.3
296,16.7,0.0,79.3
297,8.7,0.0,79.3
298,18.8,0.0,79.3
299,18.2,0.0,79.3
300,15.6,0.0,79.3
301,16.7,0.0,79.7
302,21.7,0.0,79.9
303,20.8,0.0,80.3
304,12.5,0.0,80.6
305,13.0,0.0,80.8
306,14.3,0.0,81.0
307,12.0,0.0,81.4
308,15.4,0.0,81.7
309,20.0,0.0,82.1
310,12.5,0.0,82.1
311,4.0,0.0,82.2
312,8.7,0.0,82.2
313,4.2,0.0,82.2
314,13.0,0.0,82.3
315,26.1,0.0,82.3
316,10.5,0.0,82.3
317,12.5,0.0,82.3
318,14.3,0.0,82.6
319,8.3,0.0,82.9
320,12.5,0.0,83.2
321,8.3,0.0,83.5
322,12.5,0.0,83.8
323,8.7,0.0,84.0
324,16.0,0.0,84.3
325,26.9,0.0,84.4
326,20.8,5.0,84.7
327,8.7,5.0,84.9
328,12.0,5.0,85.2
329,16.7,5.0,85.5
330,4.3,5.0,85.8
331,4.8,5.0,86.0
332,19.0,5.0,86.2
333,12.5,5.0,86.5
334,12.5,5.0,86.7
335,8.3,5.0,87.0
336,8.3,5.0,87.3
337,16.0,5.0,87.3
338,20.0,5.0,87.5
339,12.5,5.0,87.8
340,16.7,5.0,88.1
341,12.5,5.0,88.3
342,8.3,5.0,88.6
343,8.7,5.0,88.8
344,12.5,5.0,89.0
345,12.0,5.0,89.3
346,8.7,5.0,89.6
347,16.0,5.0,89.8
348,13.3,6.0,89.6
349,27.8,6.0,89.6
350,12.5,6.0,89.7
