time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model
2024-05-30 18:03:36.712571,0:16:24.910000,19,18,18,17,0.5108183855397466,0.050075484382220266,0,0.0,47.9,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,39.0,36.5,36.5,37.25,81,4089,OFF,MAXN
2024-05-30 18:03:36.713181,0:16:24.910000,19,18,18,17,0.5108183855397466,0.050075484382220266,0,0.0,47.9,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,39.0,36.5,36.5,37.25,81,4089,OFF,MAXN
2024-05-30 18:03:37.714099,0:16:25.910000,32,50,55,64,0.5498978077445371,0.050075484382220266,0,0.0,47.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,38.0,36.0,36.0,37.25,41,3487,OFF,MAXN
2024-05-30 18:03:38.715626,0:16:26.910000,15,26,78,12,0.5870526255624516,0.050075484382220266,0,0.0,20.3,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,37.5,36.0,36.5,37.0,82,3446,OFF,MAXN
2024-05-30 18:03:39.717127,0:16:27.910000,11,44,35,38,0.6228297695796222,0.050075484382220266,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,38.0,36.0,36.0,37.0,82,3487,OFF,MAXN
2024-05-30 18:03:40.718099,0:16:28.910000,17,61,22,39,0.665272568523997,0.050075484382220266,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,39.0,36.0,36.0,37.0,41,3569,OFF,MAXN
2024-05-30 18:03:41.751241,0:16:29.910000,49,65,15,49,0.6990728787469672,0.051798546355251544,0,0.0,18.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,37.5,36.0,36.5,37.25,81,3850,OFF,MAXN
2024-05-30 18:03:42.752716,0:16:30.910000,54,32,39,93,0.7143465312775313,0.05617593356088977,0,0.0,40.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,37.5,36.5,36.5,37.5,122,3768,OFF,MAXN
2024-05-30 18:03:43.754071,0:16:31.910000,37,17,50,72,0.7438975357574348,0.058850182300085284,0,0.0,8.4,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,38.0,36.5,36.0,36.75,122,3727,OFF,MAXN
2024-05-30 18:03:44.755588,0:16:32.910000,42,50,60,30,0.7497551130618849,0.06096014591719148,0,0.0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,38.5,38.0,36.5,38.25,3525,7744,OFF,MAXN
2024-05-30 18:03:45.757191,0:16:33.910000,18,72,30,14,0.7512135946249041,0.06251289404357849,0,0.0,95.4,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.0,37.5,36.5,36.0,37.0,696,3809,OFF,MAXN
2024-05-30 18:03:46.758698,0:16:34.910000,14,10,11,20,0.7513732392284238,0.06251289404357849,0,0.0,99.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,38.5,38.0,36.5,38.25,3818,7274,OFF,MAXN
2024-05-30 18:03:47.760224,0:16:35.920000,28,30,40,36,0.7489233843867578,0.06247497511168411,0,0.0,96.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,38.5,38.5,37.0,38.25,3265,6773,OFF,MAXN
2024-05-30 18:03:48.761716,0:16:36.920000,6,4,4,25,0.7490800726087308,0.06247497511168411,0,0.0,99.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,39.5,38.5,37.0,38.5,2710,6269,OFF,MAXN
2024-05-30 18:03:49.763180,0:16:37.920000,23,20,12,25,0.7493461469479302,0.06247497511168411,0,0.0,99.3,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,39.0,39.0,37.0,39.25,3812,7475,OFF,MAXN
2024-05-30 18:03:50.764245,0:16:38.920000,10,12,9,19,0.7493491033294769,0.06247497511168411,0,0.0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,39.0,38.5,37.0,38.75,3858,7125,OFF,MAXN
2024-05-30 18:03:51.765930,0:16:39.920000,30,34,39,31,0.748190201763186,0.06444418879514843,0,0.0,0.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,39.0,37.0,36.5,37.75,164,3446,OFF,MAXN
2024-05-30 18:03:52.767411,0:16:40.920000,60,8,52,4,0.7495018497093877,0.06444161802010474,0,0.0,20.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,38.5,36.5,37.0,38.0,123,3410,OFF,MAXN
2024-05-30 18:03:53.768894,0:16:41.920000,26,23,15,14,0.7511781180463443,0.0647475402503035,0,0.0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,45.5,37.5,36.5,36.0,37.0,615,3446,OFF,MAXN
2024-05-30 18:03:54.770308,0:16:42.920000,29,7,6,9,0.7515752586341123,0.06489278904027183,0,0.0,99.6,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,39.0,39.0,37.0,38.5,3824,7165,OFF,MAXN
2024-05-30 18:03:55.771729,0:16:43.920000,25,8,4,6,0.7514530615301837,0.06489214634651091,0,0.0,16.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.0,39.0,39.0,37.0,39.0,3144,6663,OFF,MAXN
2024-05-30 18:03:56.773175,0:16:44.920000,26,13,15,14,0.7514294104778104,0.06489214634651091,0,0.0,99.4,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,39.5,39.0,37.0,39.0,3778,7395,OFF,MAXN
2024-05-30 18:03:57.774313,0:16:45.930000,24,12,9,4,0.7515082473190546,0.06489021826522814,0,0.0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,39.5,39.0,37.5,39.25,3778,7165,OFF,MAXN
2024-05-30 18:03:58.775853,0:16:46.930000,25,4,6,10,0.7514510906091526,0.06489021826522814,0,0.0,5.9,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,39.5,38.5,37.0,39.25,3104,6622,OFF,MAXN
2024-05-30 18:03:59.777416,0:16:47.930000,29,8,6,7,0.7519250971171338,0.06469805283071253,0,0.0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,40.0,39.5,37.5,38.75,3144,6997,OFF,MAXN
2024-05-30 18:04:00.779034,0:16:48.930000,36,30,24,22,0.753668376769148,0.06378542769020361,0,0.0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,39.5,39.5,37.5,39.0,3513,7107,OFF,MAXN
2024-05-30 18:04:01.780517,0:16:49.930000,6,15,7,8,0.7539048872928809,0.06378542769020361,0,0.0,81.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,39.5,39.0,37.5,39.0,2997,6603,OFF,MAXN
2024-05-30 18:04:02.782039,0:16:50.930000,9,29,9,8,0.7538772943984453,0.06378542769020361,0,0.0,99.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,47.0,39.5,39.5,38.0,39.25,3898,7471,OFF,MAXN
2024-05-30 18:04:03.783502,0:16:51.930000,10,22,10,8,0.7539590876212363,0.06378414230268177,0,0.0,99.4,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,46.5,39.5,39.5,37.5,39.5,3951,7349,OFF,MAXN
