Index,CPU,GPU,RAM
0,0.0,0.0,66.4
1,12.9,0.0,66.4
2,5.7,0.0,66.5
3,4.2,0.0,66.6
4,12.3,0.0,66.6
5,13.3,0.0,66.5
6,12.5,0.0,66.5
7,13.9,0.0,66.5
8,13.6,0.0,66.5
9,12.9,0.0,66.5
10,20.2,0.0,67.2
11,19.6,0.0,67.5
12,20.7,0.0,67.6
13,18.0,0.0,67.8
14,20.4,0.0,68.5
15,17.5,0.0,68.6
16,16.0,0.0,68.7
17,41.1,0.0,69.1
18,28.2,0.0,69.0
19,30.5,0.0,69.1
20,26.8,0.0,69.1
21,28.9,0.0,69.1
22,30.2,0.0,69.0
23,28.6,0.0,69.0
24,34.7,0.0,69.0
25,29.0,0.0,68.9
26,29.4,0.0,68.9
27,28.8,0.0,68.9
28,30.0,0.0,68.9
29,29.2,0.0,68.9
30,30.1,0.0,68.9
31,28.8,0.0,68.9
32,29.3,0.0,68.9
33,29.0,0.0,68.9
34,30.8,0.0,68.9
35,28.0,0.0,68.9
36,25.5,0.0,68.9
37,32.3,0.0,68.9
38,30.8,0.0,68.9
39,26.5,0.0,68.9
40,27.7,0.0,69.0
41,26.6,0.0,68.9
42,27.3,0.0,68.9
43,30.4,0.0,68.9
44,29.4,0.0,68.9
45,28.3,0.0,68.9
46,29.0,0.0,68.9
47,29.5,0.0,68.8
48,29.0,0.0,68.9
49,27.7,0.0,68.9
50,26.2,0.0,69.0
51,29.0,0.0,69.0
52,28.0,0.0,69.0
53,27.7,0.0,69.0
54,28.7,0.0,68.9
55,27.0,0.0,69.0
56,29.2,0.0,69.0
57,31.6,0.0,69.0
58,27.1,0.0,68.9
59,29.0,0.0,69.0
60,26.8,0.0,68.9
61,28.8,0.0,68.9
62,51.9,0.0,69.2
63,33.3,0.0,69.2
64,35.6,0.0,69.1
65,28.5,0.0,69.2
66,27.3,0.0,69.2
67,31.6,0.0,69.2
68,29.5,0.0,69.0
69,26.8,0.0,69.0
70,28.9,0.0,69.0
71,26.9,0.0,69.0
72,29.5,0.0,69.0
73,28.0,0.0,68.9
74,29.5,0.0,69.0
75,26.6,0.0,68.9
76,28.3,0.0,68.9
77,28.0,0.0,68.9
78,26.2,0.0,68.9
79,26.8,0.0,68.9
80,30.2,0.0,68.9
81,26.9,0.0,68.9
82,29.9,0.0,68.9
83,50.0,0.0,69.1
84,30.2,0.0,69.1
85,26.7,0.0,69.1
86,28.2,0.0,69.1
87,30.2,0.0,69.1
88,34.9,0.0,69.0
89,29.1,0.0,69.0
90,27.1,0.0,69.0
91,29.3,0.0,68.9
92,26.5,0.0,68.9
93,30.3,0.0,68.9
94,27.4,0.0,68.9
95,28.8,0.0,68.8
96,28.8,0.0,68.9
97,28.5,0.0,68.9
98,29.7,0.0,68.9
99,30.7,0.0,68.9
100,28.7,0.0,68.9
101,26.8,0.0,68.9
102,27.5,0.0,68.9
103,25.2,0.0,68.9
104,29.7,0.0,68.9
105,27.4,0.0,68.9
106,29.7,0.0,68.9
107,27.3,0.0,68.9
108,27.4,0.0,68.9
109,43.7,0.0,68.9
110,29.6,0.0,69.0
111,25.1,0.0,69.1
112,29.2,0.0,69.1
113,26.4,0.0,69.1
114,29.9,0.0,69.1
115,32.6,0.0,69.1
116,31.1,0.0,69.2
117,29.9,0.0,69.2
118,29.2,0.0,69.2
119,27.1,0.0,69.2
120,23.2,0.0,69.2
121,28.3,0.0,69.2
122,27.9,0.0,69.2
123,24.7,0.0,69.2
124,24.2,0.0,69.2
125,27.2,0.0,69.2
126,29.6,0.0,69.2
127,29.9,0.0,69.2
128,27.5,0.0,69.2
129,29.1,0.0,69.2
130,27.2,0.0,69.2
131,26.7,0.0,69.2
132,29.9,0.0,69.2
133,28.4,0.0,69.2
134,26.1,0.0,69.2
135,28.3,0.0,69.2
136,30.3,0.0,69.2
137,29.6,0.0,69.2
138,28.2,0.0,69.2
139,25.7,0.0,69.1
140,26.7,0.0,69.1
141,27.3,0.0,69.1
142,32.9,0.0,69.2
143,28.7,0.0,69.2
144,29.9,0.0,69.2
145,28.1,0.0,69.1
146,26.0,0.0,69.1
147,28.3,0.0,69.1
148,26.0,0.0,69.1
149,31.6,0.0,69.1
150,10.8,0.0,66.6
151,9.4,0.0,66.7
152,13.1,0.0,66.7
153,13.2,0.0,66.7
154,12.9,0.0,66.6
155,12.1,0.0,66.6
156,12.5,0.0,66.6
157,10.4,0.0,66.6
158,9.3,0.0,66.7
159,10.8,0.0,66.7
