Index,CPU,GPU,RAM
0,0.0,0.0,65.8
1,10.7,0.0,65.7
2,11.4,0.0,65.8
3,12.0,0.0,65.8
4,11.0,0.0,65.7
5,10.3,0.0,65.7
6,11.7,0.0,65.8
7,14.0,0.0,65.8
8,11.8,0.0,65.7
9,11.7,0.0,65.7
10,11.8,0.0,65.6
11,10.8,0.0,65.6
12,10.5,0.0,65.7
13,18.4,0.0,67.7
14,18.4,0.0,67.9
15,22.0,0.0,68.4
16,20.8,0.0,68.7
17,20.9,0.0,69.1
18,25.3,0.0,73.7
19,18.3,4.0,78.4
20,23.0,6.0,84.5
21,23.7,3.0,88.1
22,21.2,1.0,91.1
23,20.0,2.0,93.3
24,12.6,10.0,93.4
25,15.1,11.0,93.3
26,13.6,33.0,93.3
27,21.3,30.0,93.2
28,15.5,31.0,93.3
29,16.4,32.0,93.3
30,16.5,46.0,93.3
31,14.8,31.0,93.3
32,16.7,36.0,93.3
33,15.5,33.0,93.3
34,19.0,32.0,93.3
35,15.4,37.0,93.3
36,23.2,31.0,95.6
37,31.3,32.0,95.2
38,19.1,36.0,93.4
39,15.0,30.0,93.5
40,16.9,32.0,93.4
41,15.9,32.0,93.5
42,15.1,32.0,93.4
43,13.2,36.0,92.7
44,15.1,31.0,92.7
45,19.1,31.0,92.6
46,19.6,31.0,92.7
47,15.5,31.0,92.8
48,17.0,31.0,92.8
49,10.0,33.0,92.7
50,7.3,35.0,92.7
51,7.0,32.0,92.7
52,6.0,32.0,92.7
53,7.1,34.0,92.6
54,6.9,35.0,92.6
55,4.2,33.0,92.7
56,13.1,31.0,92.8
57,5.4,35.0,92.8
58,8.2,32.0,92.8
59,4.6,37.0,92.8
60,9.8,12.0,90.4
61,3.9,16.0,90.4
62,6.4,32.0,90.4
63,4.9,34.0,90.2
64,5.6,32.0,90.3
65,7.1,35.0,90.3
66,8.0,41.0,90.4
67,4.6,33.0,90.4
68,6.5,29.0,90.3
69,7.7,39.0,90.4
70,5.5,31.0,90.4
71,6.1,31.0,90.4
72,4.4,32.0,90.4
73,8.4,32.0,90.5
74,5.4,33.0,90.4
75,6.4,35.0,90.4
76,4.2,33.0,90.4
77,6.1,30.0,90.4
78,5.9,32.0,90.4
79,7.2,36.0,90.5
80,6.2,31.0,90.6
81,6.8,32.0,90.6
82,5.5,32.0,90.7
83,5.5,36.0,90.7
84,4.8,33.0,90.7
85,5.5,36.0,90.7
86,6.6,31.0,90.7
87,4.7,32.0,90.6
88,10.7,24.0,90.8
89,14.1,0.0,63.6
90,18.8,0.0,63.2
91,11.2,0.0,63.1
92,12.2,0.0,63.1
93,10.8,0.0,63.0
94,12.7,0.0,63.0
95,11.2,0.0,63.0
96,11.9,0.0,63.0
97,12.3,0.0,63.0
