Index,CPU,GPU,RAM
0,0.0,0.0,5.5
1,20.9,0.0,5.9
2,18.4,0.0,6.1
3,17.5,0.0,6.3
4,26.9,4.0,7.6
5,17.1,2.0,9.4
6,16.9,2.0,11.2
7,18.9,11.0,12.5
8,39.7,25.0,12.6
9,43.8,25.0,12.6
10,41.1,24.0,12.6
11,41.1,26.0,12.6
12,44.0,23.0,12.6
13,38.7,26.0,12.6
14,45.9,25.0,12.6
15,38.7,25.0,12.6
16,44.1,26.0,12.6
17,46.0,26.0,12.6
18,46.3,26.0,12.6
19,38.2,23.0,12.6
20,44.2,25.0,12.6
21,37.8,24.0,12.6
22,44.4,23.0,12.6
23,36.8,23.0,12.6
24,45.1,23.0,12.6
25,36.9,25.0,12.6
26,44.9,24.0,12.6
27,46.4,28.0,12.6
28,37.3,29.0,12.6
29,45.8,29.0,12.6
30,45.9,24.0,12.6
31,42.7,23.0,12.6
32,40.8,23.0,12.6
33,42.0,24.0,12.6
34,40.1,25.0,12.6
35,45.3,28.0,12.6
36,36.8,23.0,12.6
37,36.3,24.0,12.6
38,41.0,24.0,12.6
39,40.6,23.0,12.6
40,37.0,24.0,12.6
41,44.4,22.0,12.6
42,36.5,24.0,12.6
43,43.2,22.0,12.6
44,38.3,25.0,12.6
45,40.7,23.0,12.6
46,41.0,25.0,12.6
47,39.6,23.0,12.6
48,42.3,25.0,12.6
49,38.5,25.0,12.6
50,43.1,23.0,12.6
51,45.3,26.0,12.6
52,42.1,23.0,12.6
53,45.9,28.0,12.6
54,47.0,28.0,12.6
55,37.4,27.0,12.6
56,44.2,23.0,12.6
57,37.7,23.0,12.6
58,41.4,21.0,12.6
59,40.5,23.0,12.6
60,37.9,24.0,12.6
61,44.0,22.0,12.6
62,36.5,25.0,12.6
63,45.0,23.0,12.6
64,36.4,26.0,12.6
65,45.6,23.0,12.6
66,37.6,23.0,12.6
