                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7846,                  3.761,                 1.4908,                0.45192,                0.46072,                0.44795,                0.21705,                 1.6469,                 3.1539,                 1.4274,              0.0033238,              0.0033238,              0.0033238
                      2,                 1.6559,                 2.4829,                 1.3777,                 0.6284,                0.53706,                0.57901,                0.28744,                 1.6316,                 2.0995,                 1.4552,               0.006644,               0.006644,               0.006644
                      3,                 1.6748,                 2.0538,                  1.407,                0.57195,                0.48972,                0.50169,                0.24084,                 1.7124,                 2.0013,                 1.5081,              0.0099509,              0.0099509,              0.0099509
                      4,                 1.6858,                 1.8274,                 1.4348,                 0.6956,                0.54566,                0.62858,                0.30879,                 1.6719,                 1.7093,                 1.4957,              0.0099406,              0.0099406,              0.0099406
                      5,                   1.66,                 1.6529,                 1.4296,                0.67869,                0.62105,                0.66122,                0.33767,                  1.636,                 1.6056,                 1.4923,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.6441,                  1.547,                 1.4182,                0.71858,                0.64057,                0.72329,                0.37579,                 1.6266,                 1.5289,                  1.466,              0.0099208,              0.0099208,              0.0099208
                      7,                  1.613,                 1.4535,                 1.3996,                0.76155,                0.71268,                0.77819,                0.41169,                 1.5863,                 1.2454,                 1.4346,               0.009901,               0.009901,               0.009901
                      8,                 1.6065,                 1.3826,                 1.3945,                0.77871,                0.66709,                0.75424,                0.40902,                 1.5774,                 1.3119,                 1.4397,              0.0098812,              0.0098812,              0.0098812
                      9,                  1.584,                  1.316,                 1.3791,                0.70404,                0.62678,                0.69554,                0.36718,                 1.6679,                 1.4708,                 1.4903,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.5715,                 1.2928,                  1.368,                0.75419,                0.70836,                0.78555,                0.41935,                 1.5674,                 1.2202,                 1.4164,              0.0098416,              0.0098416,              0.0098416
                     11,                  1.565,                 1.2554,                 1.3622,                0.78512,                0.71936,                0.79696,                0.44894,                 1.5183,                 1.1361,                 1.3805,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.5512,                 1.2144,                 1.3558,                0.80266,                 0.7354,                0.82141,                0.45308,                 1.5523,                 1.0838,                 1.3988,               0.009802,               0.009802,               0.009802
                     13,                 1.5457,                 1.1993,                 1.3541,                0.82098,                0.73948,                0.82662,                0.46226,                 1.5267,                 1.0528,                 1.3875,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.5185,                 1.1437,                 1.3297,                0.80248,                0.75569,                0.83275,                0.45947,                 1.5394,                 1.0541,                 1.3901,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.5104,                 1.1134,                 1.3233,                0.81893,                0.76266,                0.84103,                0.47298,                 1.5067,                 1.0282,                 1.3655,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.5061,                 1.1077,                 1.3255,                0.84087,                0.74604,                 0.8435,                0.47038,                 1.5211,                 1.0079,                 1.3725,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.5109,                 1.0968,                 1.3219,                0.82871,                0.77161,                0.85288,                0.47897,                 1.5103,                0.99104,                 1.3685,               0.009703,               0.009703,               0.009703
                     18,                 1.4894,                  1.084,                 1.3146,                0.84771,                0.76317,                0.85328,                 0.4807,                 1.5112,                0.97406,                 1.3615,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.4877,                 1.0499,                 1.3068,                0.83294,                0.79195,                0.86176,                0.49511,                   1.48,                0.92304,                 1.3404,              0.0096634,              0.0096634,              0.0096634
                     20,                  1.484,                 1.0429,                 1.2985,                0.82354,                0.78963,                0.86279,                0.49034,                 1.4903,                0.93337,                 1.3476,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.4882,                 1.0387,                 1.3118,                0.85725,                0.76743,                0.85629,                0.47897,                 1.5106,                0.94809,                 1.3547,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.4692,                 1.0226,                 1.2952,                0.83871,                0.75076,                0.83725,                0.46501,                 1.5192,                 0.9917,                 1.3693,               0.009604,               0.009604,               0.009604
                     23,                 1.4711,                 1.0124,                 1.2965,                0.84804,                0.78026,                0.86157,                0.48859,                 1.4917,                0.94797,                 1.3665,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.4523,                0.99118,                 1.2857,                0.84541,                0.78903,                0.86976,                0.49748,                 1.4766,                0.91449,                 1.3464,              0.0095644,              0.0095644,              0.0095644
                     25,                 1.4489,                0.99159,                 1.2882,                0.84167,                0.79882,                0.87353,                 0.5002,                 1.4694,                0.88507,                 1.3333,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.4374,                0.96644,                 1.2709,                0.84438,                0.79528,                0.86857,                0.50054,                 1.4864,                0.89047,                 1.3359,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.4392,                0.96197,                 1.2764,                0.85645,                0.79631,                0.87602,                0.50324,                 1.4836,                0.87257,                 1.3322,               0.009505,               0.009505,               0.009505
                     28,                 1.4228,                0.95094,                  1.267,                0.85986,                0.79858,                0.87916,                0.51242,                 1.4527,                0.85831,                 1.3222,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.4246,                0.94637,                 1.2701,                 0.8398,                0.80763,                0.88445,                0.51111,                 1.4674,                0.85851,                 1.3264,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.4196,                0.93311,                 1.2684,                0.85133,                 0.8057,                0.87632,                0.50963,                 1.4583,                0.87738,                 1.3174,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.4213,                0.92746,                 1.2649,                0.85069,                0.80127,                0.87894,                0.50621,                  1.466,                0.84964,                 1.3269,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.4128,                  0.929,                 1.2626,                0.85653,                0.81651,                0.88401,                0.51226,                 1.4501,                0.83994,                 1.3248,               0.009406,               0.009406,               0.009406
                     33,                 1.4069,                0.90059,                 1.2554,                0.86394,                 0.8176,                0.88673,                0.51963,                 1.4444,                0.83171,                 1.3209,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.4045,                0.90549,                 1.2541,                0.86263,                0.82682,                0.89211,                0.52171,                 1.4497,                 0.8147,                  1.302,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.4081,                0.90117,                 1.2563,                0.86654,                0.81779,                0.89685,                 0.5302,                 1.4333,                0.80326,                 1.3053,              0.0093466,              0.0093466,              0.0093466
                     36,                  1.397,                0.89163,                  1.243,                0.85269,                0.81814,                0.88789,                0.51939,                 1.4525,                0.82779,                 1.3199,              0.0093268,              0.0093268,              0.0093268
                     37,                 1.3856,                0.88537,                  1.244,                0.87598,                0.83007,                0.90178,                0.52944,                 1.4471,                0.78584,                 1.3147,               0.009307,               0.009307,               0.009307
                     38,                 1.3906,                0.87947,                 1.2445,                0.85455,                0.83253,                0.89323,                0.52093,                 1.4479,                0.80285,                 1.3095,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.3821,                0.86371,                 1.2407,                0.84696,                0.83665,                0.89552,                0.52969,                 1.4248,                0.77932,                 1.3006,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.3766,                0.87348,                 1.2381,                0.87512,                0.81733,                0.89564,                0.53069,                 1.4249,                0.77696,                 1.2855,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.3653,                0.85281,                 1.2279,                0.86131,                 0.8326,                0.90304,                0.53203,                 1.4491,                0.78895,                 1.3099,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.3613,                0.84325,                 1.2266,                0.87631,                0.83085,                0.90445,                0.53931,                 1.4244,                0.76251,                 1.2927,               0.009208,               0.009208,               0.009208
                     43,                 1.3677,                0.84773,                 1.2224,                0.87968,                 0.8234,                0.90091,                0.53038,                 1.4324,                0.76531,                 1.2974,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.3621,                0.83662,                 1.2277,                0.86484,                 0.8344,                0.89657,                0.53066,                 1.4343,                0.76792,                  1.303,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.3563,                0.83709,                 1.2263,                0.87011,                0.82667,                0.89691,                0.53174,                 1.4208,                 0.7563,                 1.2993,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.3637,                0.84295,                 1.2316,                0.86341,                 0.8435,                0.89929,                 0.5335,                 1.4147,                0.74088,                 1.2854,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.3459,                0.82637,                 1.2177,                0.86474,                0.83701,                0.89625,                0.53297,                 1.4179,                0.75454,                 1.3021,               0.009109,               0.009109,               0.009109
                     48,                 1.3378,                0.81745,                 1.2166,                0.88197,                0.82543,                0.90363,                0.53233,                 1.4348,                0.75276,                 1.3075,              0.0090892,              0.0090892,              0.0090892
                     49,                 1.3507,                0.82338,                 1.2222,                0.88593,                0.82178,                0.90468,                0.53608,                 1.4155,                0.75037,                  1.301,              0.0090694,              0.0090694,              0.0090694
                     50,                 1.3426,                 0.8224,                  1.219,                0.87333,                 0.8313,                0.90287,                0.54061,                 1.4194,                0.74241,                 1.2901,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.3402,                0.80577,                 1.2131,                0.88087,                0.83289,                0.90244,                0.54139,                 1.4204,                0.74877,                 1.2935,              0.0090298,              0.0090298,              0.0090298
                     52,                 1.3383,                0.81076,                 1.2173,                0.86101,                0.85526,                0.90658,                0.54748,                 1.4075,                0.73235,                 1.2867,                0.00901,                0.00901,                0.00901
                     53,                 1.3384,                0.80564,                 1.2138,                0.85993,                0.85602,                0.90583,                0.54138,                 1.4078,                0.72886,                 1.2763,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.3404,                0.80778,                 1.2148,                0.88381,                0.83764,                0.90486,                0.54155,                 1.4222,                0.73567,                 1.2873,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.3229,                0.79387,                 1.2006,                0.87541,                0.82864,                0.90826,                0.54381,                   1.41,                0.73561,                  1.284,              0.0089506,              0.0089506,              0.0089506
                     56,                 1.3257,                0.78675,                 1.2052,                 0.8659,                0.83921,                0.90779,                0.55147,                 1.4026,                0.72064,                 1.2732,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.3187,                0.78563,                 1.2085,                0.87669,                0.84055,                0.90645,                0.54869,                  1.397,                 0.7172,                 1.2781,               0.008911,               0.008911,               0.008911
                     58,                 1.3122,                0.78004,                 1.2027,                0.87477,                0.85063,                0.91007,                0.54698,                 1.4025,                0.71426,                 1.2849,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.3183,                0.77879,                 1.2008,                0.86752,                0.84662,                0.91156,                0.55434,                 1.3926,                0.71518,                 1.2721,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.3236,                0.77843,                 1.2048,                0.88737,                 0.8441,                0.90931,                0.55399,                 1.3885,                0.71236,                  1.273,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.3192,                 0.7833,                 1.1999,                0.88377,                0.83942,                0.90944,                0.55016,                 1.3982,                0.71415,                 1.2759,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.3054,                0.76833,                 1.1952,                0.88524,                0.84624,                0.91269,                0.55573,                 1.3839,                0.70814,                 1.2718,               0.008812,               0.008812,               0.008812
                     63,                 1.3131,                0.78045,                 1.2012,                0.87821,                0.85487,                0.91687,                0.55761,                 1.3819,                0.69936,                 1.2702,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.3011,                 0.7654,                 1.1956,                0.88512,                0.84356,                0.91148,                0.55279,                 1.3924,                 0.7041,                 1.2743,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.3012,                 0.7712,                 1.1923,                0.88645,                0.84879,                0.91422,                0.55379,                 1.3952,                0.70477,                 1.2796,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.3034,                0.75881,                 1.1883,                 0.8789,                0.85023,                0.91469,                0.55757,                 1.3907,                0.68714,                 1.2732,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.2926,                0.76094,                 1.1909,                0.89026,                0.84682,                0.92097,                0.56166,                  1.396,                0.68801,                 1.2754,               0.008713,               0.008713,               0.008713
                     68,                 1.2982,                0.74702,                 1.1888,                0.87732,                0.85324,                0.91624,                0.56002,                 1.3872,                0.68756,                 1.2698,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.2932,                0.75172,                 1.1882,                0.88077,                0.85451,                0.91451,                0.55669,                 1.3974,                0.69182,                  1.272,              0.0086734,              0.0086734,              0.0086734
                     70,                 1.2852,                0.74243,                 1.1828,                0.89336,                0.84536,                0.91676,                0.55863,                 1.3891,                0.68903,                 1.2701,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.2842,                0.74588,                 1.1784,                0.87606,                0.86373,                0.91974,                0.56273,                 1.3852,                0.68349,                 1.2688,              0.0086338,              0.0086338,              0.0086338
                     72,                  1.278,                0.74222,                 1.1795,                0.89263,                0.85122,                0.91819,                0.56234,                 1.3896,                0.67731,                  1.272,               0.008614,               0.008614,               0.008614
                     73,                 1.2839,                0.74504,                 1.1771,                0.88918,                0.84373,                0.91712,                0.56031,                 1.3907,                0.69134,                  1.272,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.2823,                0.74531,                 1.1885,                0.88461,                0.85386,                0.91703,                0.55945,                 1.3882,                0.68623,                 1.2714,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.2735,                0.73321,                 1.1768,                0.88719,                0.84933,                0.91949,                0.56386,                 1.3848,                 0.6807,                 1.2644,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.2675,                0.72425,                 1.1722,                0.88703,                0.86235,                0.91728,                0.56126,                 1.3867,                0.67207,                 1.2718,              0.0085348,              0.0085348,              0.0085348
