                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                0.65828,                0.53205,                0.61516,                0.45672,                 1.0813,                 1.1282,                 1.1243,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2148,                 1.4379,                 1.2672,                0.68869,                0.53841,                0.63215,                0.46754,                 1.0753,                 1.0877,                 1.1208,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1855,                 1.3194,                 1.2365,                0.68865,                0.55416,                0.64287,                0.47683,                 1.0681,                 1.0634,                 1.1178,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1419,                 1.2954,                 1.2363,                0.70029,                0.58302,                0.66376,                0.49115,                 1.0552,                 1.0382,                 1.1086,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.2145,                 1.3291,                 1.2289,                 0.6877,                0.60816,                0.68493,                0.50633,                 1.0395,                 1.0126,                 1.0948,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1217,                 1.1597,                 1.1959,                0.68026,                0.63634,                0.69973,                0.52352,                 1.0273,                0.99487,                 1.0854,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                  1.121,                 1.1752,                 1.1983,                0.72157,                 0.6439,                0.71507,                0.53568,                 1.0197,                0.97687,                 1.0813,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                   1.08,                 1.1254,                 1.1629,                0.73203,                0.66547,                0.72614,                0.54476,                 1.0128,                0.94825,                 1.0765,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0789,                 1.0918,                 1.1604,                0.75138,                0.66801,                0.73769,                0.54961,                 1.0089,                0.92054,                 1.0734,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0755,                 1.1193,                 1.1763,                0.71967,                0.69445,                0.74216,                0.55356,                 1.0027,                0.89991,                 1.0685,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.1108,                 1.0966,                 1.1673,                0.72167,                  0.689,                0.74904,                0.56547,                 0.9892,                 0.8704,                 1.0592,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0179,                 1.0349,                 1.1377,                0.75899,                0.67889,                0.76017,                0.57483,                0.97633,                0.84854,                 1.0515,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0795,                 1.0353,                 1.1811,                0.80513,                0.67864,                0.76602,                 0.5831,                0.96648,                0.83378,                 1.0484,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0817,                 1.0684,                 1.1529,                0.80845,                0.67784,                0.77548,                0.59575,                0.96323,                0.82146,                 1.0446,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0871,                 1.0489,                 1.1498,                0.81523,                0.68691,                0.78069,                0.59876,                0.96625,                0.81054,                 1.0431,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0523,                 1.0132,                 1.1443,                0.79251,                0.72128,                 0.7888,                0.60933,                0.95663,                0.79388,                 1.0371,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0241,                 1.0388,                 1.1358,                0.79145,                0.72545,                0.79529,                0.61512,                0.93876,                  0.775,                 1.0314,             0.00010133,             0.00010133,             0.00010133
                     18,                 1.0482,                0.98223,                 1.1356,                  0.816,                0.73847,                0.81209,                0.62802,                0.92797,                0.75665,                 1.0255,             0.00010015,             0.00010015,             0.00010015
                     19,                0.99092,                0.96342,                 1.1368,                0.83846,                0.72178,                0.82085,                0.63157,                0.91948,                0.74254,                 1.0211,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.97662,                0.92048,                 1.1105,                0.85985,                0.72595,                0.83019,                0.63806,                 0.9123,                0.73486,                 1.0165,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 1.0184,                0.94296,                 1.1273,                0.86763,                0.72475,                 0.8319,                0.64263,                  0.909,                0.72276,                 1.0142,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 1.0168,                0.91959,                 1.1286,                0.86334,                0.72497,                0.83249,                0.64615,                0.90684,                0.71532,                 1.0113,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 1.0006,                0.91817,                  1.098,                0.81445,                0.76022,                0.83581,                0.64881,                0.90034,                 0.7069,                 1.0065,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.95341,                0.90999,                  1.097,                0.82038,                0.76381,                0.83391,                0.64554,                0.89253,                0.70061,                 1.0033,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96891,                0.88953,                 1.0997,                 0.7606,                0.80219,                0.83554,                0.64545,                0.88647,                  0.694,                 1.0013,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 0.9756,                0.93474,                 1.1155,                0.81291,                0.76509,                0.83737,                0.64424,                0.88061,                0.68644,                  1.001,             9.0726e-05,             9.0726e-05,             9.0726e-05
