filename,frame_num,boxes,online_boxes,module_result,RBP
normal_trimmed_01.mp4,156,"tensor([[ 82.2656,  30.9375, 109.7031,  70.2344,   0.7937],
        [281.1484,  86.0156, 319.0000, 137.2500,   0.7364]])","tensor([[283.5209,  86.0477,  33.0408,  51.3477]])","[[30, 0.0, -1, 0, 0, 0, 1], [36, 0.0, -1, 0, 0, 0, 1], [42, 0.0, -1, 0, 0, 0, 1], [60, 0.0, -1, 1, 0, 0, 0], [66, 0.0, -1, 1, 0, 0, 0], [72, 1.5250735705705647, 0.0, 1, 0, 0, 0], [78, 1.5399751583782024, 0.0, 1, 0, 0, 0], [84, 1.7852543356501844, 0.0, 1, 0, 0, 0], [90, 1.9574685976528297, 0.0, 1, 0, 0, 0], [96, 1.9100444782181967, 0.0, 1, 0, 0, 0], [102, 2.0065097730931427, 0.0, 1, 0, 0, 0], [108, 1.8980301303092044, 0.0, 2, 0, 0, 0], [114, 1.912371505907629, 0.0, 2, 0, 0, 0], [120, 1.948612131943662, 0.0, 2, 0, 0, 0], [126, 2.0185393099839075, 0.0, 2, 0, 0, 0], [132, 2.01847313099492, 0.0, 2, 0, 0, 0], [138, 2.0140701136483585, 0.0, 2, 0, 0, 0], [144, 2.078837554844739, 0.0, 2, 0, 0, 0], [150, 2.179065867994325, 0.0, 2, 0, 0, 0], [156, 2.2090758094510456, 0.0, 2, 0, 0, 0]]",0.30160737
normal_trimmed_01.mp4,276,"tensor([[168.5000,  37.9688, 198.5156,  85.1250,   0.8228],
        [271.3281,  89.0000, 308.6406, 141.3125,   0.6558]])","tensor([[270.2419,  89.3500,  37.1334,  52.5621],
        [168.7636,  38.0955,  29.8538,  46.6624]])","[[162, 2.2193146536028507, 0.0, 2, 0, 0, 0], [168, 2.2231516922019523, 0.0, 2, 0, 0, 0], [174, 2.221259906977745, 0.0, 2, 0, 0, 0], [180, 2.20786956272453, 0.0, 2, 0, 0, 0], [186, 2.1527507260647667, 0.0, 1, 0, 0, 1], [192, 4.02940446287774, 10.0, 1, 0, 0, 1], [198, 4.022686261252375, 10.0, 1, 0, 0, 1], [204, 4.02720425441953, 10.0, 1, 0, 0, 1], [210, 4.236343505683399, 10.0, 1, 0, 0, 1], [216, 4.23393244185263, 10.0, 1, 0, 0, 1], [222, 4.398502071671828, 10.0, 1, 0, 0, 1], [228, 4.415883568277271, 10.0, 0, 1, 0, 1], [234, 4.386166648748239, 10.0, 0, 1, 0, 1], [240, 4.1732071916465445, 10.0, 0, 1, 0, 1], [246, 3.9109096233273513, 10.0, 0, 1, 0, 1], [252, 3.8850435782022337, 10.0, 0, 1, 0, 1], [258, 4.149344742686537, 10.0, 0, 1, 0, 1], [264, 4.254098740167525, 10.0, 1, 1, 0, 0], [270, 4.315797233482215, 10.0, 1, 0, 0, 1], [276, 4.3552865045238605, 10.0, 1, 0, 0, 1]]",0.3558464
normal_trimmed_01.mp4,396,"tensor([[187.3906,  37.5625, 219.6875,  83.1953,   0.7925]])","tensor([[187.5909,  37.5035,  32.8776,  45.7662]])","[[282, 4.407280410971263, 10.0, 1, 0, 0, 1], [288, 4.567543710334945, 10.0, 0, 1, 0, 1], [294, 4.459784422165162, 10.0, 0, 1, 0, 1], [300, 4.368885088622733, 10.0, 0, 1, 0, 1], [306, 4.313743093393033, 10.0, 0, 1, 0, 1], [312, 4.368600445748048, 10.0, 0, 1, 0, 1], [318, 4.36326688682639, 10.0, 0, 1, 0, 1], [324, 4.419302343318634, 10.0, 1, 1, 0, 0], [330, 4.318136870998008, 10.0, 1, 1, 0, 0], [336, 4.231227969832787, 10.0, 0, 1, 0, 1], [342, 4.277027695537356, 10.0, 1, 1, 0, 0], [348, 4.403988231912194, 10.0, 0, 1, 0, 1], [354, 4.467799406655142, 10.0, 0, 1, 0, 1], [360, 4.564908611726726, 10.0, 0, 1, 0, 1], [366, 4.400891754035304, 10.0, 0, 1, 0, 1], [372, 1.987763117528895, 9.5, 0, 0, 1, 1], [378, 2.01632843230459, 9.0, 0, 1, 0, 1], [384, 2.0318771741600963, 8.5, 0, 0, 0, 1], [390, 1.9751023745077418, 8.0, 0, 0, 0, 1], [396, 1.9592236886055616, 7.5, 0, 0, 0, 1]]",0.40054274
normal_trimmed_01.mp4,546,"tensor([[297.2812,  96.4531, 319.0000, 147.2500,   0.8013]])","tensor([[295.3062,  96.1345,  25.8405,  50.0664]])","[[402, 1.951916001950546, 7.0, 0, 0, 0, 1], [408, 1.8765539514027978, 6.5, 0, 0, 0, 1], [414, 1.8131026148583373, 6.0, 1, 0, 0, 0], [420, 1.723594347595622, 5.5, 1, 0, 0, 0], [426, 1.7604044698362031, 5.0, 1, 0, 0, 0], [432, 1.7054540090251085, 4.5, 1, 0, 0, 0], [438, 1.67157649342073, 4.0, 1, 0, 0, 0], [444, 0.0, 4.0, 1, 0, 0, 0], [450, 0.0, 4.0, 0, 0, 0, 1], [456, 0.0, 4.0, 1, 0, 0, 0], [462, 0.0, 4.0, 1, 0, 0, 1], [468, 0.0, 4.0, 1, 0, 0, 0], [480, 0.0, 4.0, 1, 0, 0, 0], [486, 0.0, 4.0, 1, 0, 0, 0], [492, 0.0, 4.0, 0, 0, 0, 1], [522, 2.675977365355114, 4.5, 1, 0, 0, 0], [528, 2.1962782877342306, 5.0, 1, 0, 0, 0], [534, 1.905083821369639, 5.5, 1, 0, 0, 0], [540, 1.665817528942777, 6.0, 1, 0, 0, 0], [546, 1.6845586358966216, 6.5, 1, 0, 0, 0]]",0.3394997
normal_trimmed_02.mp4,120,"tensor([[118.7500,  71.8750, 169.8438, 129.7344,   0.8135],
        [228.0312,  92.6875, 259.8828, 129.0000,   0.7614]])","tensor([[228.4732,  93.1097,  24.5306,  38.1904],
        [122.1097,  70.8287,  44.6427,  59.7333]])","[[6, 0.0, -1, 2, 0, 0, 0], [12, 6.8879280694166605, 0.0, 2, 0, 0, 0], [18, 6.892943077307716, 0.0, 2, 0, 0, 0], [24, 7.24984776510837, 0.0, 2, 0, 0, 0], [30, 7.673218289483884, 0.0, 2, 0, 0, 0], [36, 8.138334176698853, 0.0, 2, 0, 0, 0], [42, 8.737127647556463, 0.0, 2, 0, 0, 0], [48, 9.025926189084734, 0.0, 2, 0, 0, 0], [54, 9.383416638190871, 0.0, 2, 0, 0, 0], [60, 9.488209674610383, 0.0, 2, 0, 0, 0], [66, 9.430390232660539, 0.0, 2, 0, 0, 0], [72, 9.306843374234575, 0.0, 2, 0, 0, 0], [78, 8.494316270727722, 0.0, 2, 0, 0, 0], [84, 7.747090373939264, 0.0, 2, 0, 0, 0], [90, 7.515297282026457, 0.0, 2, 0, 0, 0], [96, 7.1142739573610925, 0.0, 2, 0, 0, 0], [102, 6.786338951705649, 0.0, 2, 0, 0, 0], [108, 6.256228545719334, 0.0, 2, 0, 0, 0], [114, 5.60184265661791, 0.0, 2, 0, 0, 0], [120, 4.692046279725408, 0.0, 2, 0, 0, 0]]",0.3360703
normal_trimmed_02.mp4,240,"tensor([[245.3438,  92.5938, 272.0469, 136.6250,   0.8273],
        [159.6250,  83.2031, 193.2656, 119.2188,   0.7780]])","tensor([[244.4103,  92.3512,  30.9861,  43.1389],
        [157.8681,  82.8745,  32.0127,  36.4757]])","[[126, 4.203097337345032, 0.0, 2, 0, 0, 0], [132, 3.8613619855882653, 0.0, 2, 0, 0, 0], [138, 3.6864239169128155, 0.0, 2, 0, 0, 0], [144, 3.7505707845803045, 0.0, 2, 0, 0, 0], [150, 4.229809474341418, 0.0, 1, 0, 0, 1], [156, 4.455831344311757, 0.0, 2, 0, 0, 0], [162, 4.899198958810625, 0.0, 2, 0, 0, 0], [168, 5.019681391283105, 0.0, 2, 0, 0, 0], [174, 4.536263539687042, 0.0, 2, 0, 0, 0], [180, 1.2438965855621404, 0.5, 1, 0, 0, 0], [186, 1.2778926730710225, 1.0, 1, 0, 0, 0], [192, 1.4591566329777, 1.5, 2, 0, 0, 0], [198, 3.4699578731401552, 1.5, 2, 0, 0, 0], [204, 3.5518883681497666, 1.5, 2, 0, 0, 0], [210, 3.448987566836062, 1.5, 2, 0, 0, 0], [216, 3.356541494566841, 1.5, 2, 0, 0, 0], [222, 3.3951122835548326, 1.5, 2, 0, 0, 0], [228, 3.455663984729616, 1.5, 2, 0, 0, 0], [234, 3.2894098203059534, 1.5, 2, 0, 0, 0], [240, 3.2609296943577513, 1.5, 2, 0, 0, 0]]",0.30479285
normal_trimmed_02.mp4,360,"tensor([[102.8828, 106.8750, 139.5312, 155.1250,   0.8111],
        [257.8516,  91.7031, 269.6992, 109.5938,   0.7311]])","tensor([[106.9490, 105.6027,  31.8138,  46.7066],
        [257.5326,  91.5944,  13.8227,  18.2898]])","[[246, 3.113957206131033, 1.5, 2, 0, 0, 0], [252, 1.6112061269048183, 2.0, 1, 0, 0, 0], [258, 0.0, 2.0, 0, 2, 0, 0], [264, 1.836033834075863, 17.987650084309387, 0, 1, 0, 0], [270, 1.8201591859818222, 17.518244457961217, 1, 0, 0, 0], [276, 1.600895175341596, 17.048949136725895, 1, 0, 0, 0], [282, 1.5442020865972097, 16.579773487261182, 1, 0, 0, 1], [288, 2.741672840599525, 18.110770276274835, 0, 1, 0, 1], [294, 2.2600788948056163, 17.613914953808536, 1, 0, 0, 1], [300, 1.1453955254670138, 17.397916541931107, 1, 0, 0, 0], [306, 1.1340022443635764, 17.190113437671084, 1, 0, 0, 1], [312, 1.141241058550122, 16.990806337546196, 1, 0, 0, 1], [318, 1.5570869816424113, 17.313578486263317, 1, 0, 0, 1], [324, 1.4914773519459221, 17.024687956024334, 1, 0, 0, 1], [330, 1.6120856600693685, 16.745148551147583, 1, 0, 0, 1], [336, 1.711480790738032, 16.47543626129518, 1, 0, 0, 1], [342, 1.811235889281458, 16.216041440499588, 1, 0, 0, 1], [348, 1.9215012908945779, 15.96746692496966, 1, 0, 0, 1], [354, 2.0391383882028813, 15.730225681788548, 1, 0, 0, 1], [360, 2.2639693933608434, 15.504837954651444, 1, 0, 0, 1]]",0.3340162
normal_trimmed_02.mp4,480,"tensor([[ 71.8750,  87.7812, 119.4062, 141.9062,   0.7807]])","tensor([[70.9914, 91.4143, 40.0216, 55.0165]])","[[366, 2.5808606469820696, 15.291827882892221, 1, 0, 0, 1], [372, 2.8661446487163005, 15.091719583930786, 1, 0, 0, 1], [378, 2.962934538082102, 14.905032707109367, 1, 0, 0, 1], [384, 3.236995254985284, 14.732277488562318, 0, 1, 0, 1], [390, 2.8678231497426623, 14.715977711317723, 1, 0, 0, 0], [396, 2.707762438044862, 14.710540438746634, 1, 0, 0, 0], [402, 2.7656099932649645, 14.715977711317723, 1, 0, 0, 0], [408, 3.1186949837857583, 14.732277488562318, 1, 0, 0, 0], [414, 3.3214126931477495, 14.759403781996074, 1, 0, 0, 1], [420, 3.0556988182809164, 14.79729705047513, 1, 0, 0, 0], [426, 2.858177099605257, 14.845874847916509, 1, 0, 0, 0], [432, 2.3617799640223516, 14.905032707109367, 1, 0, 0, 1], [438, 2.458062203396063, 14.974645237867907, 1, 0, 0, 1], [444, 2.84546487639498, 15.054567413247051, 1, 0, 0, 1], [450, 2.9046305953932383, 15.144636014114042, 1, 0, 0, 0], [456, 2.957383150038671, 15.244671200127604, 1, 0, 0, 0], [462, 3.0006062548699597, 15.354478174135387, 1, 0, 0, 0], [468, 3.3618259976599156, 15.47384890710776, 1, 0, 0, 0], [474, 2.9568183529249836, 15.602563891873668, 1, 0, 0, 0], [480, 2.866991228999723, 15.740393895960802, 1, 0, 0, 0]]",0.36324355
normal_trimmed_02.mp4,600,"tensor([[200.0938,  94.6875, 229.9375, 131.8125,   0.7937],
        [176.6250, 122.1875, 231.2969, 197.2969,   0.3007]])","tensor([[198.2458,  95.2190,  28.6601,  37.7792]])","[[486, 2.89656607188302, 15.8871016865884, 2, 0, 0, 0], [492, 2.974490154829861, 16.04244370412438, 1, 0, 0, 0], [498, 3.134641080146215, 16.206171663906314, 1, 0, 0, 0], [504, 3.218613935345388, 16.378034070058593, 1, 0, 0, 0], [510, 3.070438320577182, 16.557777628655362, 1, 0, 0, 0], [516, 3.9006691166045093, 16.745148551147583, 0, 0, 0, 1], [522, 4.743003297360777, 16.939893742287758, 1, 0, 0, 0], [528, 5.744720491987057, 17.141761869772896, 1, 0, 0, 0], [534, 5.855147310085878, 17.35050431543706, 1, 0, 0, 0], [540, 5.453538751712131, 17.565876010037186, 1, 0, 0, 0], [546, 5.256865486621488, 17.787636155487327, 1, 0, 0, 0], [552, 5.160347409449211, 18.015548839821673, 1, 0, 0, 0], [558, 4.7547501716597935, 18.24938355123263, 1, 0, 0, 0], [564, 3.8684146217539706, 18.488915598271305, 1, 0, 0, 0], [570, 2.350858684484365, 18.626862323000083, 1, 0, 0, 0], [576, 2.1714797004120023, 18.772320048411704, 1, 0, 0, 0], [582, 1.9488187075948342, 18.925115587493778, 1, 0, 0, 0], [588, 1.7428841773688362, 19.085072700935672, 1, 0, 0, 0], [594, 1.585101586885192, 19.252012881774206, 1, 0, 0, 0], [600, 1.4098391134924952, 19.425756098540926, 2, 0, 0, 0]]",0.38400486
normal_trimmed_02.mp4,792,"tensor([[233.7773,  96.5625, 245.6211, 114.6406,   0.6689]])",tensor([]),"[[606, 1.239982621776856, 19.60612149304395, 1, 0, 0, 0], [612, 1.1597218167868182, 19.79292802998081, 1, 0, 0, 0], [618, 1.0637581467019193, 19.985995096566995, 0, 1, 0, 0], [624, 0.9860884397654388, 20.185143051264216, 0, 1, 0, 0], [630, 0.8353004926782148, 20.390193721492693, 0, 1, 0, 0], [636, 0.6658043572387697, 20.600970850908944, 0, 1, 0, 0], [642, 0.6311979883569544, 20.81730049742281, 0, 1, 0, 0], [648, 0.5408242163625564, 21.039011383617815, 0, 1, 0, 0], [654, 0.4754011643524194, 21.265935201631738, 0, 1, 0, 0], [660, 0.4661721459418307, 21.497906874856444, 0, 1, 0, 0], [666, 0.3789603580299475, 21.73476477903545, 0, 1, 0, 0], [672, 0.32428590763097986, 21.976350925483512, 0, 1, 0, 0], [678, 0.28834926575088105, 22.222511109233356, 0, 1, 0, 0], [684, 0.29861906763547097, 22.47309502494038, 0, 1, 0, 0], [732, 0.0, 22.47309502494038, 0, 1, 0, 0], [738, 0.0, 22.47309502494038, 0, 1, 0, 0], [750, 0.0, 22.47309502494038, 0, 1, 0, 0], [780, 0.0, 22.47309502494038, 0, 0, 0, 1], [786, 0.0, 22.47309502494038, 0, 0, 0, 1], [792, 0.0, 22.47309502494038, 0, 0, 0, 1]]",0.39433345
