filename,frame_num,boxes,online_boxes,module_result,RBP
anomaly_52.mp4,100,"tensor([[150.2617,  82.2969, 172.7656, 116.4219]])","tensor([[149.8836,  82.2966,  23.3287,  34.0855]])","[[5, 0.8889611562093099, 0.0, 1, 0, 0, 0], [10, 0.8936079221666565, 0.0, 1, 0, 0, 0], [15, 0.9311115270456819, 0.0, 1, 0, 0, 0], [20, 0.9582965260296987, 0.0, 1, 0, 0, 0], [25, 0.9797457961123257, 0.0, 1, 0, 0, 0], [30, 0.9910692074352596, 0.0, 1, 0, 0, 0], [35, 0.984893776846396, 0.0, 1, 0, 0, 0], [40, 0.9953256789610047, 0.0, 1, 0, 0, 0], [45, 1.0086364882479113, 0.0, 1, 0, 0, 0], [50, 1.0082997253037245, 0.0, 1, 0, 0, 0], [55, 1.0291980541237724, 0.0, 1, 0, 0, 0], [60, 1.036997203928081, 0.0, 1, 0, 0, 0], [65, 1.0472624735960305, 0.0, 1, 0, 0, 0], [70, 1.065175506550247, 0.0, 1, 0, 0, 0], [75, 1.0773157087022582, 0.0, 1, 0, 0, 0], [80, 1.0705098145050158, 0.0, 1, 0, 0, 0], [85, 1.0566323064189571, 0.0, 1, 0, 0, 0], [90, 1.011531259329767, 0.0, 1, 0, 0, 0], [95, 1.0272058005625695, 0.0, 1, 0, 0, 0], [100, 1.0353798813980954, 0.0, 1, 0, 0, 0]]",0.50410956
anomaly_52.mp4,200,"tensor([[154.2812,  88.7344, 173.6328, 118.7031]])","tensor([[154.1645,  88.7974,  20.0360,  29.5326]])","[[105, 1.0604446455870782, 0.0, 1, 0, 0, 0], [110, 1.0681946046744883, 0.0, 1, 0, 0, 0], [115, 1.0734882553419425, 0.0, 1, 0, 0, 0], [120, 1.0178699509256148, 0.0, 1, 0, 0, 0], [125, 0.9940933840143392, 0.0, 1, 0, 0, 0], [130, 0.9840156560352966, 0.0, 1, 0, 0, 0], [135, 0.985755771430585, 0.0, 1, 0, 0, 0], [140, 0.9461369682614228, 0.0, 1, 0, 0, 0], [145, 0.9235841968686979, 0.0, 1, 0, 0, 0], [150, 0.732626490595455, 0.0, 1, 0, 0, 0], [155, 0.7512987517668629, 0.0, 1, 0, 0, 0], [160, 0.74022423691387, 0.0, 1, 0, 0, 0], [165, 0.6898501695278677, 0.0, 1, 0, 0, 0], [170, 0.7114027630309087, 0.0, 1, 0, 0, 0], [175, 0.7370985530792495, 0.0, 1, 0, 0, 0], [180, 0.7391388594550582, 0.0, 1, 0, 0, 0], [185, 0.7215628644941271, 0.0, 1, 0, 0, 0], [190, 0.7736511851494754, 0.0, 1, 0, 0, 0], [195, 0.7368765985451328, 0.0, 1, 0, 0, 0], [200, 0.7704627948731589, 0.0, 1, 0, 0, 0]]",0.4648749
anomaly_52.mp4,300,"tensor([[149.6406,  83.1406, 171.4375, 116.4453]])","tensor([[149.5236,  83.0220,  21.7548,  33.2194]])","[[205, 0.7769361982198006, 0.0, 1, 0, 0, 0], [210, 0.7685360342309101, 0.0, 1, 0, 0, 0], [215, 0.7633802283990008, 0.0, 1, 0, 0, 0], [220, 0.8600690978885884, 0.0, 1, 0, 0, 0], [225, 0.9064986130772468, 0.0, 1, 0, 0, 0], [230, 0.9097302896282619, 0.0, 1, 0, 0, 0], [235, 0.9497549567345042, 0.0, 1, 0, 0, 0], [240, 0.9671634260375109, 0.0, 1, 0, 0, 0], [245, 0.9736624795482385, 0.0, 1, 0, 0, 0], [250, 0.9770840059491093, 0.0, 1, 0, 0, 0], [255, 0.9564466165866179, 0.0, 1, 0, 0, 0], [260, 0.9590380192886793, 0.0, 1, 0, 0, 0], [265, 0.8894105624233362, 0.0, 1, 0, 0, 0], [270, 0.8928474333787714, 0.0, 1, 0, 0, 0], [275, 0.9230406450349733, 0.0, 1, 0, 0, 0], [280, 0.9431322125379893, 0.0, 1, 0, 0, 0], [285, 0.9560593674807668, 0.0, 1, 0, 0, 0], [290, 0.9427207748672117, 0.0, 1, 0, 0, 0], [295, 0.928218287984843, 0.0, 1, 0, 0, 0], [300, 0.9409915161241619, 0.0, 1, 0, 0, 0]]",0.4986141
anomaly_52.mp4,400,"tensor([[193.4297,  47.3516, 210.0234,  78.6875],
        [143.6758,  75.1875, 163.8828, 109.6719]])","tensor([[193.8683,  47.2624,  17.0627,  31.3776],
        [142.0522,  75.0188,  22.5753,  34.9668]])","[[305, 0.9522978160893274, 0.0, 1, 0, 0, 0], [310, 0.9000743607378089, 0.0, 1, 0, 0, 0], [315, 0.8443791979215121, 0.0, 1, 0, 0, 0], [320, 0.8493900612566705, 0.0, 1, 0, 0, 0], [325, 0.8984574823739422, 0.0, 1, 0, 0, 0], [330, 0.8812762429223255, 0.0, 1, 0, 0, 0], [335, 0.9417010288514026, 0.0, 1, 0, 0, 0], [340, 0.9523810383869696, 0.0, 1, 0, 0, 0], [345, 0.8968246847129535, 0.0, 1, 0, 0, 0], [350, 0.900232197755372, 0.0, 1, 0, 0, 0], [355, 1.022275696547581, 0.0, 1, 0, 0, 0], [360, 1.1358346195463582, 0.0, 1, 0, 1, 1], [365, 0.20411702875742557, 35.5, 0, 0, 0, 1], [370, 0.27885562980138445, 35.0, 0, 0, 0, 1], [375, 0.35754735210515776, 34.5, 0, 0, 1, 1], [380, 0.35354443427227505, 34.0, 0, 0, 0, 1], [385, 0.3492335486279832, 33.5, 0, 0, 1, 1], [390, 1.1966093629536068, 32.355662392986005, 0, 0, 1, 1], [395, 1.8430574427063107, 32.567877834864625, 0, 1, 1, 0], [400, 1.7249607471354598, 32.7854981491648, 0, 1, 1, 0]]",0.5731602
anomaly_52.mp4,500,"tensor([[141.0469,  78.8906, 162.7891, 113.4336],
        [185.8281,  49.7656, 199.5547,  73.4531]])","tensor([[141.1724,  78.8611,  21.2319,  34.6711]])","[[405, 0.508370248792931, 32.567877834864625, 1, 0, 0, 1], [410, 1.54328697007427, 32.82614134429381, 0, 1, 0, 1], [415, 2.2435971226287137, 32.82614134429381, 1, 1, 1, 0], [420, 1.8733316782182026, 33.038697848970315, 0, 1, 1, 0], [425, 1.0873020142147425, 33.50953429829917, 0, 1, 0, 0], [430, 0.840419117730761, 33.25657829663178, 1, 0, 1, 0], [435, 1.9077819513511638, 33.47967874530592, 0, 1, 1, 0], [440, 0.8529554347219914, 33.23652609203716, 3, 0, 0, 0], [445, 1.0137530694609798, 31.63463292026636, 3, 0, 0, 0], [450, 2.0181623571621494, 31.75984099456419, 2, 1, 0, 0], [455, 0.6197808371842655, 31.64253466459348, 1, 0, 0, 0], [460, 1.7757213869410766, 31.960913628993776, 1, 1, 0, 0], [465, 1.8330383383249018, 32.283896914715854, 0, 1, 1, 0], [470, 0.8869545626209098, 32.713720363174836, 0, 1, 0, 0], [475, 2.1041168052529144, 32.85194058195041, 1, 1, 1, 0], [480, 1.6995215149589644, 33.18132004607411, 0, 1, 1, 0], [485, 1.762859142959627, 33.514922049737784, 0, 1, 1, 0], [490, 0.9571484946420696, 33.943887520435844, 0, 1, 0, 0], [495, 1.8883196312240216, 34.28100786149672, 0, 1, 1, 0], [500, 0.9585055736256152, 34.70950878361721, 1, 1, 0, 0]]",0.5181372
normal_trimmed_50.mp4,100,"tensor([[104.7031, 128.0391, 122.7031, 155.3281],
        [ 68.8438,  74.0195,  85.6016,  96.6484],
        [ 93.9883,  82.3359, 108.4531, 104.0469],
        [101.0312,  64.0430, 115.0039,  83.8594]])","tensor([[104.6444, 128.0518,  18.1657,  27.2995],
        [ 68.9951,  73.9596,  16.7376,  22.6566],
        [ 93.9403,  82.5738,  14.1915,  21.8941],
        [100.7379,  64.1536,  15.0058,  19.9254]])","[[5, 0.0, -1, 2, 1, 0, 0], [10, 1.5554999691241183, 0.0, 3, 1, 0, 0], [15, 1.5505482374986195, 0.0, 2, 2, 0, 0], [20, 1.5605017696015033, 0.0, 2, 1, 0, 0], [25, 1.5849860726054932, 0.0, 2, 1, 0, 0], [30, 1.6023995838498855, 0.0, 2, 1, 0, 0], [35, 1.5901266404640708, 0.0, 2, 1, 0, 0], [40, 1.5775211994620832, 0.0, 2, 1, 0, 0], [45, 1.552647730249897, 0.0, 2, 1, 0, 0], [50, 1.556955371236948, 0.0, 3, 2, 0, 0], [55, 2.001341804529138, 3.897114317029974, 3, 1, 0, 0], [60, 2.0039928385437804, 3.897114317029974, 3, 2, 0, 0], [65, 2.0477185971069525, 3.897114317029974, 3, 1, 0, 0], [70, 2.043939962331715, 3.897114317029974, 3, 1, 0, 0], [75, 2.0441788573164126, 3.897114317029974, 3, 1, 0, 0], [80, 2.0433472924472227, 3.897114317029974, 3, 1, 0, 0], [85, 2.0094230343810486, 3.897114317029974, 3, 1, 0, 0], [90, 1.9865374886815774, 3.897114317029974, 3, 2, 0, 0], [95, 2.70326558705028, 6.8527366796047255, 3, 2, 0, 0], [100, 1.9188942814308898, 7.2, 3, 1, 0, 0]]",0.53067446
normal_trimmed_50.mp4,200,"tensor([[ 78.3906, 128.5312, 101.9062, 156.2812],
        [ 91.6211,  64.3984, 105.2422,  85.7422],
        [ 89.9141,  83.8516, 103.3750, 105.2734],
        [ 70.7305,  71.6797,  85.4688,  92.2852]])","tensor([[ 79.2242, 128.5944,  21.1841,  27.5118],
        [ 71.0582,  71.5224,  14.7192,  20.7084],
        [ 89.9904,  83.7015,  13.2984,  21.4274],
        [ 91.5726,  64.5885,  14.1071,  21.5720]])","[[105, 1.9403832558900358, 7.552483035399682, 3, 1, 0, 0], [110, 1.952281090350527, 7.909487973314076, 3, 1, 0, 0], [115, 1.9745932485591902, 8.270429251254134, 3, 1, 0, 0], [120, 2.0093132750998706, 8.63481325796916, 3, 1, 0, 0], [125, 2.0318291402299, 9.00222194794152, 3, 1, 0, 0], [130, 2.8100024444144225, 9.00222194794152, 3, 2, 0, 0], [135, 2.8621709621003433, 9.00222194794152, 3, 2, 0, 0], [140, 2.6447547765710455, 9.00222194794152, 4, 2, 0, 0], [145, 2.6851863277392978, 9.00222194794152, 3, 2, 0, 0], [150, 2.6923498370030834, 9.00222194794152, 3, 2, 0, 0], [155, 2.723804642573266, 9.00222194794152, 3, 3, 0, 0], [160, 2.7456558320546236, 9.00222194794152, 3, 2, 0, 0], [165, 2.6927977807473886, 9.00222194794152, 3, 2, 0, 0], [170, 2.726041207979582, 9.00222194794152, 3, 3, 0, 0], [175, 2.0683288539089255, 9.372299611087985, 3, 2, 0, 1], [180, 3.052189712178091, 13.486618882762608, 3, 1, 0, 1], [185, 1.9208761188902297, 13.936363306911247, 3, 1, 0, 1], [190, 2.594695025756683, 15.746719775034716, 3, 1, 0, 1], [195, 1.875006934182951, 16.22545241657221, 3, 1, 0, 0], [200, 1.8855251367662194, 16.705125695121122, 3, 1, 0, 0]]",0.5149961
normal_trimmed_50.mp4,300,"tensor([[180.3945, 113.6719, 202.9141, 148.7500],
        [ 28.0312,  89.1250,  42.2969, 112.5117],
        [ 79.2188, 128.3594, 101.1406, 155.2188],
        [ 30.6562, 122.5781,  50.6406, 152.1484],
        [ 94.2891,  79.5703, 110.7266, 105.4141]])","tensor([[ 27.0937,  89.4131,  14.8045,  23.3669],
        [178.7504, 113.6262,  25.0088,  35.4318],
        [ 78.8153, 128.2920,  21.4774,  27.2066],
        [ 30.8853, 122.7079,  19.4541,  29.3884],
        [ 93.7851,  79.2800,  16.9470,  25.7449]])","[[205, 1.9378962991561344, 17.185660847797216, 3, 1, 0, 0], [210, 2.4625119229316774, 17.48468717805056, 4, 1, 0, 0], [215, 3.103787162128789, 17.675071803681764, 5, 2, 0, 0], [220, 2.9249858503114794, 18.681541692269406, 5, 1, 0, 0], [225, 3.4155865953105953, 18.972018869904172, 4, 2, 0, 0], [230, 3.7879665349884726, 19.12091459632619, 5, 2, 0, 0], [235, 2.93002811447235, 19.536824204563032, 3, 2, 0, 0], [240, 2.9164988611805, 19.95581055732891, 3, 2, 0, 0], [245, 2.9294779535106956, 20.377683872314833, 3, 2, 0, 0], [250, 3.611693109221948, 20.650363192931984, 3, 3, 0, 0], [255, 3.3962028892188583, 20.796258677944934, 3, 2, 0, 0], [260, 2.5168505618750556, 20.817285485864865, 3, 2, 0, 0], [265, 2.413156652251267, 20.85028477023755, 3, 2, 0, 0], [270, 1.9593946980686212, 20.80715021332811, 2, 1, 0, 0], [275, 1.4730235482687704, 20.820662813657012, 1, 1, 0, 0], [280, 3.8265034396589757, 21.041254121368336, 2, 3, 0, 0], [285, 3.2692134593916604, 21.150871731444074, 1, 3, 0, 0], [290, 3.1753993416932906, 21.27168011700063, 1, 3, 0, 0], [295, 3.1538308340552894, 21.403489785546654, 1, 3, 0, 0], [300, 3.677591635103629, 21.65496478870377, 2, 3, 0, 0]]",0.537368
normal_trimmed_39.mp4,100,"tensor([[283.3203,  56.5469, 293.6406,  73.9258],
        [271.5312,  80.3438, 287.0879, 105.2266]])","tensor([[283.0952,  56.5207,  10.5931,  17.3905],
        [271.5990,  80.3189,  15.5001,  24.3056]])","[[5, 0.0, -1, 1, 0, 0, 0], [10, 0.240665107245988, 0.0, 1, 0, 0, 0], [15, 0.23859000860606017, 0.0, 1, 0, 0, 0], [20, 0.2355346238155107, 0.0, 1, 1, 0, 0], [25, 1.7794366511952875, 1.5, 1, 1, 0, 0], [30, 0.23132773835357057, 2.0, 1, 1, 0, 0], [35, 1.5758079569561545, 2.3570226039551585, 1, 1, 0, 0], [40, 0.23369838504378984, 2.8284271247461903, 1, 1, 0, 0], [45, 1.0899651916494453, 3.031088913245535, 1, 1, 0, 0], [50, 0.2302573742496179, 3.4641016151377544, 1, 2, 0, 0], [55, 0.24270901710423232, 3.897114317029974, 1, 0, 0, 0], [60, 0.24308390061133878, 4.330127018922194, 1, 1, 0, 0], [65, 1.320422092464355, 4.4, 1, 1, 0, 0], [70, 1.0272979318116977, 4.715930449020639, 1, 1, 0, 0], [75, 0.8309889510584915, 5.059644256269407, 1, 1, 0, 0], [80, 0.7704403455254768, 5.425863986500215, 1, 1, 0, 0], [85, 0.7388441632348967, 5.81033561853358, 1, 1, 0, 0], [90, 0.7282120191638436, 6.209669878504008, 1, 1, 0, 0], [95, 0.7228073533811971, 6.6211781428987395, 1, 1, 0, 0], [100, 0.7304113217206876, 7.042726744663604, 1, 1, 0, 0]]",0.5245601
normal_trimmed_39.mp4,200,"tensor([[284.2930,  56.7656, 294.3672,  73.6484]])","tensor([[284.2235,  56.6555,  10.1464,  16.9868]])","[[105, 0.7432723091010681, 7.472616676907761, 2, 0, 0, 0], [110, 0.7772563466146636, 7.909487973314075, 1, 1, 0, 0], [115, 0.78424006112409, 8.35224520712844, 1, 1, 0, 0], [120, 0.802655559256903, 8.8, 1, 1, 0, 0], [125, 0.8134397779606957, 9.252026804976301, 1, 1, 0, 0], [130, 0.6092672939391264, 9.368030742904295, 0, 1, 0, 0], [135, 0.6082922414996403, 9.499473669630333, 0, 1, 0, 0], [140, 0.6065968790220495, 9.645724441429994, 0, 1, 0, 0], [145, 0.6002716188051522, 9.806120537705011, 0, 1, 0, 0], [150, 0.6179647702825264, 9.979979959899719, 0, 1, 0, 0], [155, 0.846439507317792, 10.461357464497615, 1, 1, 0, 0], [160, 0.8364786543292482, 10.943491216243562, 1, 1, 0, 0], [165, 0.8111876405614566, 11.42628548566856, 1, 1, 0, 0], [170, 0.7996166572386395, 11.909659944767524, 1, 1, 0, 0], [175, 0.7983627740646853, 12.393546707863734, 1, 1, 0, 0], [180, 0.8168492561531385, 12.877888025604198, 1, 1, 0, 0], [185, 0.837928313228673, 13.362634470792052, 1, 1, 0, 0], [190, 0.8325337922383085, 13.847743498491008, 1, 1, 0, 0], [195, 0.8223656580220554, 14.333178293735132, 1, 1, 0, 0], [200, 0.22442108060092872, 14.620533505997654, 1, 0, 0, 0]]",0.49857286
