filename,frame_num,boxes,online_boxes,module_result,RBP
anomaly_52.mp4,100,"tensor([[150.2654,  82.2790, 172.7774, 116.4332]])","tensor([[149.8886,  82.2851,  23.3257,  34.1027]])","[[5, 0.889893933548592, 0.0, 1, 0, 0, 0], [10, 0.8946193433492624, 0.0, 1, 0, 0, 0], [15, 0.9316392432589566, 0.0, 1, 0, 0, 0], [20, 0.9557166473312861, 0.0, 1, 0, 0, 0], [25, 0.9780979493553161, 0.0, 1, 0, 0, 0], [30, 0.9894759873483281, 0.0, 1, 0, 0, 0], [35, 0.983005648218267, 0.0, 1, 0, 0, 0], [40, 0.99550538077591, 0.0, 1, 0, 0, 0], [45, 1.0077707314493505, 0.0, 1, 0, 0, 0], [50, 1.0068195143113599, 0.0, 1, 0, 0, 0], [55, 1.0287303565519323, 0.0, 1, 0, 0, 0], [60, 1.0342337126085777, 0.0, 1, 0, 0, 0], [65, 1.0454347570342009, 0.0, 1, 0, 0, 0], [70, 1.064818000079697, 0.0, 1, 0, 0, 0], [75, 1.0764068606565615, 0.0, 1, 0, 0, 0], [80, 1.073710707309819, 0.0, 1, 0, 0, 0], [85, 1.056567124794147, 0.0, 1, 0, 0, 0], [90, 1.0126554622416961, 0.0, 1, 0, 0, 0], [95, 1.0262813880836934, 0.0, 1, 0, 0, 0], [100, 1.0357665469366377, 0.0, 1, 0, 0, 0]]",0.5045196
anomaly_52.mp4,200,"tensor([[154.2786,  88.7134, 173.6348, 118.7346]])","tensor([[154.1505,  88.7769,  20.0627,  29.5770]])","[[105, 1.059852259910116, 0.0, 1, 0, 0, 0], [110, 1.068282627306587, 0.0, 1, 0, 0, 0], [115, 1.072887454075726, 0.0, 1, 0, 0, 0], [120, 1.0189223138593206, 0.0, 1, 0, 0, 0], [125, 0.9948403412709581, 0.0, 1, 0, 0, 0], [130, 0.9844486950916576, 0.0, 1, 0, 0, 0], [135, 0.9866459700363635, 0.0, 1, 0, 0, 0], [140, 0.9460330313564498, 0.0, 1, 0, 0, 0], [145, 0.9237005076385003, 0.0, 1, 0, 0, 0], [150, 0.7330616402504594, 0.0, 1, 0, 0, 0], [155, 0.752138602607412, 0.0, 1, 0, 0, 0], [160, 0.7410294345125598, 0.0, 1, 0, 0, 0], [165, 0.6903575060909143, 0.0, 1, 0, 0, 0], [170, 0.711085787632399, 0.0, 1, 0, 0, 0], [175, 0.7374677357731277, 0.0, 1, 0, 0, 0], [180, 0.7394586456412829, 0.0, 1, 0, 0, 0], [185, 0.7209210332320642, 0.0, 1, 0, 0, 0], [190, 0.773157268760348, 0.0, 1, 0, 0, 0], [195, 0.7382411160322798, 0.0, 1, 0, 0, 0], [200, 0.7726504833038348, 0.0, 1, 0, 0, 0]]",0.4649491
anomaly_52.mp4,300,"tensor([[149.6469,  83.1547, 171.4432, 116.4408]])","tensor([[149.5259,  83.0359,  21.7480,  33.2060]])","[[205, 0.7776458400786055, 0.0, 1, 0, 0, 0], [210, 0.7696197136802141, 0.0, 1, 0, 0, 0], [215, 0.7646259890143199, 0.0, 1, 0, 0, 0], [220, 0.8605445231903796, 0.0, 1, 0, 0, 0], [225, 0.9069219628835583, 0.0, 1, 0, 0, 0], [230, 0.9111605135393575, 0.0, 1, 0, 0, 0], [235, 0.9510974911664789, 0.0, 1, 0, 0, 0], [240, 0.9688753258074693, 0.0, 1, 0, 0, 0], [245, 0.9753841319816084, 0.0, 1, 0, 0, 0], [250, 0.9785027586301567, 0.0, 1, 0, 0, 0], [255, 0.9565301457527084, 0.0, 1, 0, 0, 0], [260, 0.9608803106181085, 0.0, 1, 0, 0, 0], [265, 0.892162953723755, 0.0, 1, 0, 0, 0], [270, 0.8940548302847446, 0.0, 1, 0, 0, 0], [275, 0.9230807886308602, 0.0, 1, 0, 0, 0], [280, 0.943773848058072, 0.0, 1, 0, 0, 0], [285, 0.9563077419397908, 0.0, 1, 0, 0, 0], [290, 0.9427969737810239, 0.0, 1, 0, 0, 0], [295, 0.9282085914570359, 0.0, 1, 0, 0, 0], [300, 0.9403175710403957, 0.0, 1, 0, 0, 0]]",0.49822226
anomaly_52.mp4,400,"tensor([[193.4263,  47.3536, 210.0287,  78.6909],
        [143.6872,  75.1889, 163.8835, 109.6584]])","tensor([[194.3089,  46.6129,  15.3604,  31.9058],
        [142.0643,  75.0164,  22.5598,  34.9525]])","[[305, 0.9517499700504288, 0.0, 1, 0, 0, 0], [310, 0.9007726744259704, 0.0, 1, 0, 0, 0], [315, 0.8446853185302672, 0.0, 1, 0, 0, 0], [320, 0.8392447928735957, 0.0, 1, 0, 0, 0], [325, 0.8941385770495079, 0.0, 1, 0, 0, 0], [330, 0.8796847844529054, 0.0, 1, 0, 0, 0], [335, 0.9420719139796461, 0.0, 1, 0, 0, 0], [340, 0.9544231943043636, 0.0, 1, 0, 0, 0], [345, 0.8989490946855199, 0.0, 1, 0, 0, 0], [350, 0.9004899918715523, 0.0, 1, 0, 0, 0], [355, 1.0208531277456434, 0.0, 1, 0, 0, 0], [360, 1.1352523253735853, 0.0, 1, 0, 1, 1], [365, 0.6726342388918122, 33.46972097616325, 0, 0, 1, 1], [370, 0.2782356993085813, 33.23652609203716, 0, 0, 0, 1], [375, 0.3572865345922101, 33.00841643513902, 0, 0, 1, 1], [380, 0.8893865372745751, 30.335622624235025, 0, 0, 1, 1], [385, 0.9966046831139745, 30.058276730378275, 0, 0, 1, 1], [390, 1.1049836714200107, 29.78674201721296, 0, 0, 1, 1], [395, 1.7745791746023087, 30.074906483645133, 0, 1, 1, 0], [400, 1.6648529709394968, 30.36856927812043, 0, 1, 1, 0]]",0.5793478
anomaly_52.mp4,500,"tensor([[141.1527,  78.8226, 162.5922, 113.3889],
        [185.8228,  49.7728, 199.5660,  73.4631]])","tensor([[141.1602,  78.8147,  21.1964,  34.6923]])","[[405, 0.44621988751021746, 30.202441954252638, 1, 0, 0, 1], [410, 1.9405584388592725, 30.335622624235025, 0, 1, 1, 1], [415, 2.066613965117921, 30.474374480865066, 1, 1, 1, 0], [420, 1.7690389727814118, 30.776411421736615, 0, 1, 1, 0], [425, 1.086894199840117, 31.20897306865447, 0, 1, 0, 0], [430, 0.7625220207384587, 31.083556746292725, 1, 0, 1, 0], [435, 1.8443558548135097, 31.395660528168538, 0, 1, 1, 0], [440, 0.7948731500468776, 31.280984639234106, 3, 0, 0, 0], [445, 0.9734063220518935, 29.520162601178196, 3, 0, 0, 0], [450, 1.982562608059496, 29.732137494637012, 2, 1, 0, 0], [455, 0.5921029633260039, 29.680970334542636, 1, 0, 0, 0], [460, 1.7414230010347846, 30.030651008594536, 1, 1, 0, 1], [465, 1.7989270386680214, 30.38420642373271, 0, 1, 1, 0], [470, 0.8877322401582433, 30.779213765137015, 0, 1, 0, 0], [475, 2.0741543184830484, 31.005805907926344, 1, 1, 1, 0], [480, 1.6732688491238623, 31.36494858914964, 0, 1, 1, 0], [485, 1.7387189850316151, 31.727590516772622, 0, 1, 1, 0], [490, 0.9588354072233187, 32.12102115437802, 0, 1, 0, 0], [495, 1.8632657249920992, 32.486304806795125, 0, 1, 1, 0], [500, 0.9574876528510572, 32.87917273898478, 1, 1, 0, 0]]",0.5190734
normal_trimmed_50.mp4,100,"tensor([[104.6916, 128.0308, 122.7074, 155.3320],
        [ 68.8454,  74.0200,  85.6096,  96.6391],
        [ 93.9889,  82.3125, 108.4682, 104.0656],
        [101.1124,  64.3478, 114.9760,  84.1113]])","tensor([[104.6192, 128.0439,  18.2125,  27.3126],
        [ 69.0016,  73.9585,  16.7283,  22.6524],
        [ 93.9307,  82.5545,  14.2200,  21.9310],
        [100.7742,  64.3611,  14.9696,  19.8878]])","[[5, 0.0, -1, 2, 1, 0, 0], [10, 1.5555496756793374, 0.0, 3, 1, 0, 0], [15, 1.5517318839051388, 0.0, 2, 2, 0, 0], [20, 1.5599762728560809, 0.0, 2, 1, 0, 0], [25, 1.565547424913807, 0.0, 2, 1, 0, 0], [30, 1.5945673118215378, 0.0, 2, 1, 0, 0], [35, 1.5887147287286467, 0.0, 2, 1, 0, 0], [40, 1.5789320876621957, 0.0, 2, 1, 0, 0], [45, 1.5541105928565457, 0.0, 2, 2, 0, 0], [50, 2.3271244913693656, 3.4641016151377544, 3, 2, 0, 0], [55, 2.0019449556264632, 4.409081537009721, 3, 1, 0, 0], [60, 2.737726016421192, 4.409081537009721, 3, 2, 0, 0], [65, 2.0315486805897414, 4.66476151587624, 3, 1, 0, 0], [70, 2.0399986649834005, 4.9396356140913875, 3, 1, 0, 0], [75, 2.0385136362755247, 5.230678732248808, 3, 1, 0, 0], [80, 2.03449910185675, 5.535341001239219, 3, 1, 0, 0], [85, 2.007955909823579, 5.851495535331118, 3, 1, 0, 0], [90, 2.745219337828106, 5.851495535331118, 3, 2, 0, 0], [95, 2.7150576859301316, 5.851495535331118, 3, 2, 0, 0], [100, 1.9185408047072057, 6.177378084592201, 3, 1, 0, 0]]",0.5256097
normal_trimmed_50.mp4,200,"tensor([[ 78.3883, 128.5269, 101.9334, 156.2884],
        [ 91.6168,  64.3984, 105.2523,  85.7532],
        [ 89.9080,  83.8650, 103.3771, 105.2936],
        [ 70.7339,  71.6767,  85.4761,  92.2853]])","tensor([[ 79.2229, 128.5914,  21.2005,  27.5139],
        [ 71.0628,  71.5222,  14.7181,  20.7092],
        [ 89.9861,  83.7114,  13.3068,  21.4348],
        [ 91.5820,  64.5830,  14.1109,  21.6411]])","[[105, 1.9419897437982596, 6.511528238439882, 3, 1, 0, 0], [110, 1.954242441213599, 6.8527366796047255, 3, 1, 0, 0], [115, 2.7116926557522447, 6.8527366796047255, 3, 2, 0, 0], [120, 2.0127200432977568, 7.200000000000001, 3, 1, 0, 0], [125, 2.0336956477584067, 7.552483035399683, 3, 1, 0, 0], [130, 2.8151002082601764, 7.552483035399683, 3, 2, 0, 0], [135, 2.868211765490291, 7.552483035399683, 3, 2, 0, 0], [140, 2.657593297358948, 7.552483035399683, 4, 2, 0, 0], [145, 2.699482997264579, 7.552483035399683, 3, 2, 0, 0], [150, 2.7007050227382523, 7.552483035399683, 3, 2, 0, 0], [155, 2.733952869979646, 7.552483035399683, 3, 3, 0, 0], [160, 2.7550110584782743, 7.552483035399683, 3, 2, 0, 0], [165, 2.699900160144265, 7.552483035399683, 3, 2, 0, 0], [170, 2.732174088536626, 7.552483035399683, 3, 3, 0, 0], [175, 2.0689282683672707, 7.909487973314076, 3, 2, 0, 1], [180, 3.0531255846287166, 12.879786057574439, 3, 1, 0, 1], [185, 1.9211321046437508, 13.316656236958787, 3, 1, 0, 1], [190, 2.6047754175148556, 15.384858710791608, 3, 1, 0, 1], [195, 1.8775674156510433, 15.85392502743438, 3, 1, 0, 0], [200, 1.8870899704300397, 16.32451518172492, 3, 1, 0, 0]]",0.51158565
normal_trimmed_50.mp4,300,"tensor([[180.3581, 113.5421, 203.0211, 148.8416],
        [ 28.0378,  89.1236,  42.2958, 112.5058],
        [ 79.2176, 128.3773, 101.1327, 155.2226],
        [ 30.6548, 122.5725,  50.6387, 152.1245],
        [ 94.2918,  79.5752, 110.7303, 105.4391]])","tensor([[ 27.0986,  89.4104,  14.7997,  23.3622],
        [ 30.8916, 122.7288,  19.4492,  29.3331],
        [178.7190, 113.5422,  25.1249,  35.5740],
        [ 78.8133, 128.3069,  21.4773,  27.1999],
        [ 93.7882,  79.2858,  16.9461,  25.7616]])","[[205, 1.9370841182268232, 16.796501093370363, 3, 1, 0, 0], [210, 2.4631901581271407, 17.078450438718235, 4, 1, 0, 0], [215, 3.1373893142329243, 17.278038437418118, 5, 2, 0, 0], [220, 2.925366875589276, 18.418740456393863, 5, 1, 0, 0], [225, 3.4257262194954734, 18.719975961523026, 4, 2, 0, 0], [230, 3.79664968204821, 18.874172167276637, 5, 2, 0, 0], [235, 2.9301366368430024, 19.30511590226798, 3, 2, 0, 0], [240, 2.9172284108090594, 19.73852514753825, 3, 2, 0, 0], [245, 2.9296548612976827, 20.174241001832016, 3, 2, 0, 0], [250, 3.6130364852991192, 20.455744914326637, 3, 3, 0, 0], [255, 3.3984672202836563, 20.612117188682973, 3, 2, 0, 0], [260, 2.518598606287668, 20.645444412751207, 3, 2, 0, 0], [265, 2.4146713806146183, 20.690804116805126, 3, 2, 0, 0], [270, 1.9608604927375994, 20.662465970933866, 2, 1, 0, 0], [275, 2.198934472039108, 20.645444412751207, 1, 2, 0, 0], [280, 3.8298857502513073, 20.87911636061258, 2, 3, 0, 0], [285, 3.271802246069508, 21.00446381129497, 1, 3, 0, 0], [290, 3.177104805680142, 21.140896385915145, 1, 3, 0, 0], [295, 3.1544358893667237, 21.288200957337846, 1, 3, 0, 0], [300, 3.6859206614671365, 21.551899568251518, 2, 3, 0, 0]]",0.5390917
normal_trimmed_39.mp4,100,"tensor([[283.3118,  56.5521, 293.6416,  73.9321],
        [271.5204,  80.3351, 287.0890, 105.2362]])","tensor([[283.0902,  56.5212,  10.5949,  17.3964],
        [270.9653,  80.4435,  16.6466,  25.3123]])","[[5, 0.0, -1, 1, 0, 0, 0], [10, 0.24079906895967915, 0.0, 1, 0, 0, 0], [15, 0.23912892164668165, 0.0, 1, 0, 0, 0], [20, 0.23581980910768388, 0.0, 1, 1, 0, 0], [25, 1.7791124672234822, 1.5, 1, 1, 0, 0], [30, 0.23138612719913473, 2.0, 1, 1, 0, 0], [35, 1.576297541867973, 2.3570226039551585, 1, 1, 0, 0], [40, 0.23413732841009485, 2.8284271247461903, 1, 1, 0, 0], [45, 1.0905183538775916, 3.031088913245535, 1, 1, 0, 0], [50, 0.23057871432110724, 3.4641016151377544, 1, 2, 0, 0], [55, 0.6204930450892974, 3.6000000000000005, 1, 1, 0, 0], [60, 0.2428397882158606, 4.0, 1, 1, 0, 0], [65, 1.3884914259379333, 4.317406628984581, 1, 1, 0, 0], [70, 1.2592255326160995, 4.66476151587624, 1, 1, 0, 0], [75, 1.035546254906161, 5.03587132480567, 1, 1, 0, 0], [80, 0.9137067331292267, 5.425863986500215, 1, 1, 0, 0], [85, 0.8453158888748789, 5.830951894845301, 1, 1, 0, 0], [90, 0.8128762035164078, 6.248199740725324, 1, 1, 0, 0], [95, 0.7921367475091993, 6.675327707311453, 1, 1, 0, 0], [100, 0.7886442217044282, 7.110555533852471, 1, 1, 0, 0]]",0.5258415
normal_trimmed_39.mp4,200,"tensor([[284.2917,  56.7446, 294.3679,  73.6475],
        [271.1974,  78.6975, 286.2078, 103.1817]])","tensor([[271.1649,  78.7684,  15.5044,  25.5780],
        [284.2264,  56.6445,  10.1363,  16.9986]])","[[105, 0.7928649753070734, 7.552483035399682, 2, 0, 0, 0], [110, 0.8218994105059588, 8.0, 1, 1, 0, 0], [115, 0.824570017976375, 8.452218643646177, 1, 1, 0, 0], [120, 0.8392206304746708, 8.908422980528035, 1, 1, 0, 0], [125, 0.8456078593436492, 9.368030742904295, 1, 1, 0, 0], [130, 0.8602347188985485, 9.830564581955606, 0, 2, 0, 0], [135, 0.8516225976860525, 10.295630140987, 0, 2, 0, 0], [140, 0.8501963231002657, 10.762899237658969, 1, 1, 0, 0], [145, 0.6202876703627425, 10.910545357588683, 0, 1, 0, 0], [150, 0.6210124825069366, 11.070682002478437, 0, 1, 0, 0], [155, 0.8556115434744859, 11.54816002660164, 1, 1, 0, 0], [160, 0.84873414568307, 12.026637102698325, 1, 1, 0, 0], [165, 0.8265962812412889, 12.505998560690786, 1, 1, 0, 0], [170, 0.8126369293243959, 12.986146464598342, 1, 1, 0, 0], [175, 0.8096663333803255, 13.46699669562594, 1, 1, 0, 0], [180, 0.8266127798206094, 13.948476619330155, 1, 1, 0, 0], [185, 0.8466186474561633, 14.430523206037956, 1, 1, 0, 0], [190, 0.8406887575134098, 14.913081505845799, 1, 1, 0, 0], [195, 0.8291471029835549, 15.396103403134184, 1, 1, 0, 0], [200, 0.7407241177874061, 15.879546593023367, 2, 0, 0, 0]]",0.5083533
