filename,frame_num,boxes,online_boxes,module_result,RBP
anomaly_52.mp4,120,"tensor([[148.5781,  82.2031, 171.4062, 115.5312]])","tensor([[148.6733,  82.1681,  23.2304,  33.8870]])","[[6, 0.8889611562093099, 0.0, 1, 0, 0, 0], [12, 0.8940012057099503, 0.0, 1, 0, 0, 0], [18, 0.9460271849602577, 0.0, 1, 0, 0, 0], [24, 0.9754641142479651, 0.0, 1, 0, 0, 0], [30, 0.991154995129051, 0.0, 1, 0, 0, 0], [36, 0.9913435033184138, 0.0, 1, 0, 0, 0], [42, 0.999554641081185, 0.0, 1, 0, 0, 1], [48, 1.012412612660872, 0.0, 1, 0, 0, 0], [54, 1.032116655391377, 0.0, 1, 0, 0, 0], [60, 1.0420544909327134, 0.0, 1, 0, 0, 0], [66, 1.053091457692157, 0.0, 1, 0, 0, 0], [72, 1.0723808347694046, 0.0, 1, 0, 0, 0], [78, 1.0769468632264534, 0.0, 2, 0, 0, 0], [84, 1.065362501906672, 0.0, 1, 0, 0, 0], [90, 1.0202868441451756, 0.0, 1, 0, 0, 0], [96, 1.032734914347543, 0.0, 1, 1, 0, 0], [102, 1.0509005620546457, 0.0, 1, 0, 0, 0], [108, 1.0698134895472624, 0.0, 1, 0, 1, 0], [114, 1.078686132416351, 0.0, 1, 0, 0, 0], [120, 1.0250102329182198, 0.0, 1, 0, 0, 0]]",0.4504445
anomaly_52.mp4,240,"tensor([[151.9219,  85.3125, 173.5859, 118.8906]])","tensor([[151.5688,  85.0314,  22.1759,  33.4057]])","[[126, 1.0042451986933354, 0.0, 1, 0, 0, 0], [132, 0.9945192977198, 0.0, 1, 0, 0, 0], [138, 0.9711720170212365, 0.0, 1, 0, 0, 0], [144, 0.9347193764798855, 0.0, 1, 0, 0, 0], [150, 0.7373188200646439, 0.0, 1, 0, 0, 0], [156, 0.7712054168796385, 0.0, 1, 0, 0, 0], [162, 0.713410611955311, 0.0, 1, 0, 0, 0], [168, 0.7089152527919774, 0.0, 1, 0, 0, 0], [174, 0.7354429181670525, 0.0, 1, 0, 0, 0], [180, 0.7381634589691922, 0.0, 1, 0, 0, 0], [186, 0.7203075192472284, 0.0, 1, 0, 0, 0], [192, 0.7446277437987684, 0.0, 1, 0, 0, 0], [198, 0.755250746536556, 0.0, 1, 0, 0, 0], [204, 0.7668980111993733, 0.0, 1, 0, 0, 0], [210, 0.7647928264382244, 0.0, 1, 0, 0, 0], [216, 0.8215815117103537, 0.0, 1, 0, 0, 0], [222, 0.9175662913988845, 0.0, 1, 0, 0, 0], [228, 0.9178437075670445, 0.0, 1, 0, 0, 0], [234, 0.9349387585517851, 0.0, 1, 0, 0, 0], [240, 0.9645847438857041, 0.0, 1, 0, 0, 0]]",0.40693045
anomaly_52.mp4,360,"tensor([[229.1953,  50.6406, 243.3047,  78.5156],
        [143.1328,  76.9219, 167.6094, 114.0312],
        [248.0234,  59.9531, 257.8320,  76.0703]])","tensor([[144.3856,  78.7719,  23.7685,  35.6806],
        [248.0214,  59.9172,   9.7274,  16.3609]])","[[246, 0.9756002782240026, 0.0, 1, 0, 0, 0], [252, 0.964377720275659, 0.0, 1, 0, 0, 0], [258, 0.9793853914093518, 0.0, 1, 0, 0, 0], [264, 0.883788573800563, 0.0, 1, 0, 0, 0], [270, 0.8935956488445053, 0.0, 1, 0, 0, 0], [276, 0.9154213435610927, 0.0, 1, 0, 0, 0], [282, 0.943666816120242, 0.0, 1, 0, 0, 0], [288, 0.9558708075878618, 0.0, 1, 0, 0, 0], [294, 0.9304659593013298, 0.0, 1, 0, 0, 0], [300, 0.9439894707816071, 0.0, 1, 0, 0, 0], [306, 0.9554517986402876, 0.0, 1, 0, 0, 0], [312, 0.9013559004719411, 0.0, 1, 0, 0, 0], [318, 0.8444567670204606, 0.0, 1, 0, 0, 0], [324, 0.8870460733560321, 0.0, 1, 0, 1, 0], [330, 0.8774011345527318, 0.0, 1, 0, 0, 0], [336, 0.940819694136394, 0.0, 2, 0, 0, 0], [342, 0.9541123963456073, 0.0, 1, 0, 0, 0], [348, 0.893862207704899, 0.0, 1, 0, 0, 0], [354, 0.9396219908811645, 0.0, 1, 0, 0, 1], [360, 1.311489922019966, 29.5, 1, 0, 1, 1]]",0.4887689
anomaly_52.mp4,480,"tensor([[141.6484,  79.2656, 161.3750, 112.1406],
        [171.4297,  44.4219, 189.0156,  78.6250],
        [191.0938,  41.0156, 204.4141,  63.2031]])","tensor([[168.9046,  44.2017,  18.5869,  35.1315],
        [141.3631,  79.3564,  20.0654,  32.8459],
        [190.9175,  40.9437,  13.6744,  22.1375]])","[[366, 0.6681789241677928, 27.58018612458347, 0, 0, 1, 1], [372, 0.7617711469391253, 27.10883414846328, 0, 0, 1, 1], [378, 0.8724954597575943, 26.637484032009397, 0, 0, 1, 1], [384, 1.0346695133729706, 26.166135875720485, 0, 0, 1, 1], [390, 1.1438266894647835, 25.69478978746902, 0, 0, 1, 2], [396, 2.0057754476054868, 24.62214450449026, 0, 1, 1, 1], [402, 1.693157323353186, 24.92990172463582, 0, 1, 1, 0], [408, 1.5958838417309569, 25.243811122728676, 2, 1, 0, 1], [414, 2.0998883785730036, 24.0948127197536, 0, 2, 1, 0], [420, 2.277721960609744, 24.30966885829587, 0, 1, 1, 1], [426, 2.3136177709654695, 24.532427519509763, 1, 1, 0, 1], [432, 1.2903590206033755, 24.367191056828855, 1, 0, 1, 0], [438, 2.338549493451467, 24.605690398767514, 3, 1, 0, 0], [444, 1.1707232098556897, 24.45730974575904, 3, 0, 0, 0], [450, 2.518702172707326, 23.57729604702136, 3, 1, 1, 0], [456, 1.6438582121402543, 23.935097428021653, 1, 1, 0, 0], [462, 1.7795645442327555, 24.29677619218923, 1, 1, 0, 1], [468, 1.8286527524685614, 24.662161750791885, 0, 1, 1, 1], [474, 1.7782548243557414, 25.031091777138997, 1, 1, 1, 0], [480, 2.102565076099694, 24.259649878860536, 1, 1, 1, 0]]",0.39939
normal_trimmed_50.mp4,120,"tensor([[105.1250, 127.6250, 123.2109, 155.7812],
        [100.7734,  63.6406, 114.4023,  84.4219],
        [ 66.5430,  73.9453,  83.6797,  96.5781],
        [ 94.2266,  82.8750, 108.5312, 106.2812],
        [ 30.7188, 122.2734,  50.0703, 152.8906]])","tensor([[104.9017, 127.7034,  18.5605,  27.9963],
        [ 66.9419,  73.9659,  16.9415,  22.7354],
        [ 93.9744,  82.8283,  14.7435,  23.2231],
        [ 30.6400, 122.2789,  19.5690,  30.4646],
        [100.2421,  63.6926,  14.8744,  20.4159]])","[[6, 0.0, -1, 3, 2, 0, 0], [12, 2.747381122071187, 0.0, 3, 2, 0, 0], [18, 2.8273785105476748, 0.0, 3, 2, 0, 0], [24, 2.3235310867376073, 0.39999999999999997, 2, 2, 0, 0], [30, 2.366938333099521, 0.8, 2, 2, 0, 0], [36, 2.3621118711929205, 1.2, 2, 2, 0, 0], [42, 2.3455384392787004, 1.6, 2, 2, 0, 0], [48, 2.3292113181845053, 2.0, 2, 2, 0, 0], [54, 2.847455238678189, 2.0, 3, 2, 0, 0], [60, 2.7962981429148455, 2.0, 3, 2, 0, 0], [66, 2.814642673727434, 2.0, 3, 2, 0, 0], [72, 2.8121286430115426, 2.0, 3, 2, 0, 0], [78, 2.815657239037691, 2.0, 3, 2, 0, 0], [84, 2.790902392940154, 2.0, 3, 2, 0, 0], [90, 2.766027700558446, 2.0, 3, 2, 0, 0], [96, 2.7322184090738633, 2.0, 3, 2, 0, 0], [102, 2.701217716337972, 2.0, 3, 2, 0, 0], [108, 2.7600788120476567, 2.0, 3, 2, 0, 0], [114, 2.74007760377616, 2.0, 3, 2, 0, 0], [120, 2.795601484916508, 2.0, 3, 2, 0, 0]]",0.43191758
normal_trimmed_50.mp4,240,"tensor([[ 76.7383, 128.9531,  99.3828, 157.8906],
        [ 90.3164,  65.1875, 103.9922,  85.2617],
        [ 43.0898,  79.2734,  58.8281, 103.7969],
        [ 31.1562, 122.5391,  50.1758, 152.0938],
        [ 90.7578,  84.8438, 105.7148, 107.1641],
        [230.1562,  99.3750, 250.1875, 128.6953]])","tensor([[ 76.1534, 128.9125,  22.8099,  29.1550],
        [ 90.8580,  84.8158,  14.4275,  22.1680],
        [ 31.0196, 122.6005,  19.1801,  29.7446],
        [ 90.2246,  65.1598,  13.3967,  20.0317],
        [ 42.9975,  79.1139,  16.2106,  24.3424],
        [228.0982,  98.7377,  23.8731,  32.1430]])","[[126, 2.8844361942942576, 2.0, 3, 2, 0, 0], [132, 2.8543034680624544, 2.0, 4, 2, 0, 0], [138, 2.716828495431386, 2.0, 3, 2, 0, 0], [144, 2.6839653027218184, 2.0, 3, 2, 0, 0], [150, 2.6944931044854954, 2.0, 3, 2, 0, 0], [156, 2.7390054758813753, 2.0, 3, 3, 0, 0], [162, 2.7785115634240425, 2.0, 3, 3, 0, 1], [168, 3.65152799866861, 9.494150245750742, 3, 3, 0, 1], [174, 3.8138579862798707, 9.494150245750742, 3, 3, 0, 1], [180, 4.39040829006629, 11.878638003421374, 3, 3, 0, 1], [186, 4.218722685765089, 11.878638003421374, 3, 2, 0, 2], [192, 4.287895527272911, 12.09317567718189, 3, 2, 0, 1], [198, 4.514557394786616, 12.3139211082914, 3, 2, 0, 1], [204, 5.16664059723517, 12.3139211082914, 3, 2, 0, 2], [210, 5.172988110182227, 12.3139211082914, 5, 2, 0, 1], [216, 5.394270016206052, 14.234091997735577, 5, 2, 0, 1], [222, 4.981608773698904, 14.13329402510257, 5, 2, 0, 1], [228, 3.6493122536979663, 15.314803618608472, 5, 2, 0, 0], [234, 3.3124234517945155, 15.425648034489528, 4, 2, 0, 0], [240, 3.8875974475770554, 15.578554426669097, 4, 2, 0, 0]]",0.47739297
normal_trimmed_39.mp4,120,"tensor([[270.8867,  80.2500, 287.0234, 107.3750],
        [285.2734,  57.3438, 294.6836,  74.0898]])","tensor([[284.6884,  57.2085,  10.1634,  16.8791],
        [269.9280,  80.3362,  18.1404,  27.1454]])","[[6, 0.0, -1, 1, 0, 0, 0], [12, 0.24125275334151533, 0.0, 1, 0, 0, 0], [18, 0.23373779124439645, 0.0, 1, 1, 0, 0], [24, 0.23500923209284488, 0.0, 1, 2, 0, 0], [30, 0.23152370889094698, 0.0, 1, 1, 0, 0], [36, 0.2358979292839649, 0.0, 1, 1, 0, 0], [42, 0.23325381042003102, 0.0, 1, 2, 0, 0], [48, 0.6080088387820742, 3.0, 1, 2, 0, 0], [54, 0.6406918643226026, 3.0, 1, 1, 0, 0], [60, 0.654764899041794, 3.0, 1, 2, 0, 0], [66, 1.232516020912745, 3.0, 1, 1, 0, 0], [72, 1.1185607749767712, 3.0, 1, 1, 0, 0], [78, 0.9819650075168362, 3.0, 1, 1, 0, 0], [84, 0.8906230487288197, 3.0, 1, 1, 0, 0], [90, 0.8472761588240777, 3.0, 1, 1, 0, 0], [96, 0.8241739706049174, 3.0, 1, 1, 0, 0], [102, 0.8333284946999152, 3.0, 1, 1, 0, 0], [108, 0.8343912727623888, 3.0, 2, 0, 0, 0], [114, 0.8463558310552344, 3.0, 1, 1, 0, 0], [120, 0.8645520891720817, 3.0, 1, 1, 0, 0]]",0.51279813
normal_trimmed_39.mp4,240,"tensor([[283.9180,  56.6250, 293.6543,  73.1016],
        [257.8086,  77.4766, 271.3125,  98.7656],
        [169.4375,  60.9805, 183.7793,  80.9375]])","tensor([[283.8187,  56.6236,   9.8642,  16.5357],
        [168.2879,  61.0690,  16.0265,  19.6480],
        [258.8400,  77.6811,  12.6379,  21.5675]])","[[126, 0.8691453406573402, 3.0, 1, 1, 0, 0], [132, 0.8744322732697185, 3.0, 0, 2, 0, 0], [138, 0.8801432822028327, 3.0, 0, 2, 0, 0], [144, 0.8718191478204792, 3.0, 1, 1, 0, 0], [150, 0.8853536866358691, 3.0, 1, 1, 0, 0], [156, 0.8849909165800748, 3.0, 1, 1, 0, 0], [162, 0.8675929966293552, 3.0, 1, 1, 0, 0], [168, 0.8414818271243263, 3.0, 1, 1, 0, 0], [174, 0.8231549272503192, 3.0, 1, 1, 0, 0], [180, 0.8389203006953588, 3.0, 1, 1, 0, 0], [186, 0.8565324010745052, 3.0, 1, 1, 0, 0], [192, 0.8420687779184846, 3.0, 1, 1, 0, 0], [198, 0.7838102468151552, 3.0, 3, 0, 0, 0], [204, 0.7194962257170564, 3.0, 2, 0, 0, 0], [210, 0.7864229662176973, 3.0, 1, 1, 0, 0], [216, 0.7729777197475466, 3.0, 2, 1, 0, 0], [222, 1.1916007939972104, 15.2825245151302, 2, 1, 0, 0], [228, 0.5212788324937065, 15.121728296285006, 2, 1, 0, 0], [234, 0.9764987273809567, 16.263455967290593, 2, 1, 0, 0], [240, 0.9773015782270894, 16.08376510646683, 2, 1, 0, 0]]",0.42196545
normal_trimmed_39.mp4,360,"tensor([[238.4922,  97.3125, 258.0938, 127.2500],
        [279.5508,  66.9688, 294.9297,  89.3047],
        [285.0938,  57.5781, 294.6797,  73.3789]])","tensor([[285.1311,  57.6134,   9.5704,  15.7295],
        [240.8515,  95.3429,  21.2955,  30.1513],
        [280.5637,  68.2965,  13.3257,  22.8822]])","[[246, 1.2758068483999807, 16.08376510646683, 3, 1, 0, 0], [252, 0.9235183009492971, 15.913830462839549, 2, 1, 0, 0], [258, 0.9676029905915584, 15.75396775418815, 2, 1, 0, 0], [264, 1.2082110324850912, 15.75396775418815, 3, 1, 0, 0], [270, 0.46262974888454284, 15.833114033569013, 1, 1, 0, 0], [276, 0.4667145584093693, 15.927570436196476, 1, 1, 0, 0], [282, 0.4527184391933498, 16.037066439969625, 1, 2, 0, 0], [288, 0.21774378720031962, 16.38596960817394, 2, 0, 0, 0], [294, 0.4121652165748107, 16.515144564913744, 1, 1, 0, 0], [300, 0.40407919978335843, 16.658331248957683, 1, 1, 0, 0], [306, 0.19315790958100246, 17.020208576865326, 1, 0, 0, 0], [312, 0.19436379004500756, 17.38533865071371, 1, 0, 0, 0], [318, 0.19307665851512112, 17.75352077758099, 2, 0, 0, 0], [324, 0.518757389467344, 19.0473095212946, 2, 1, 0, 0], [330, 0.935170260052748, 19.087517736293876, 2, 1, 0, 0], [336, 0.638120489294348, 19.267128022157905, 2, 0, 0, 0], [342, 1.1187871747866538, 19.573933914491715, 3, 0, 0, 0], [348, 1.260644398865312, 19.88857852023506, 3, 0, 0, 0], [354, 1.390171986203922, 19.936705400397088, 3, 0, 0, 0], [360, 1.4290954706377832, 19.997222029294193, 3, 0, 0, 0]]",0.538415
normal_trimmed_39.mp4,480,"tensor([[217.1875, 115.0781, 242.1094, 147.6133],
        [179.8125,  89.4375, 200.5312, 120.0312],
        [286.6777,  58.8750, 296.3125,  75.0625]])","tensor([[217.7364, 115.1804,  23.9463,  32.3676],
        [179.0452,  89.7102,  21.9647,  29.9098],
        [286.4531,  59.0278,  10.1069,  16.0651]])","[[366, 0.49520260246320663, 20.179747823553747, 2, 1, 0, 0], [372, 1.1684290719702897, 20.21314989237028, 2, 0, 0, 0], [378, 1.2185016124790593, 20.401080403563267, 2, 0, 0, 0], [384, 1.1879598513887664, 20.597206071678354, 2, 0, 0, 0], [390, 1.0025026888973514, 20.491909802332696, 1, 1, 0, 0], [396, 1.8980349402618466, 20.259257143340673, 2, 1, 0, 0], [402, 1.8304871789032071, 20.38649982218625, 3, 1, 0, 0], [408, 1.8075683274549945, 20.524375751773793, 3, 1, 0, 0], [414, 1.7316575791710065, 20.67267217850658, 2, 1, 0, 0], [420, 1.7154921009028465, 20.831166553988282, 3, 1, 0, 0], [426, 1.953909689608096, 20.55885859347903, 4, 0, 0, 0], [432, 1.9892196850043327, 20.669056014806525, 4, 0, 0, 0], [438, 2.0213268347781743, 20.79054865991388, 4, 0, 0, 0], [444, 2.070523613472403, 20.92313976863362, 3, 1, 0, 0], [450, 2.0480571680789894, 21.066619784289138, 3, 1, 0, 0], [456, 2.0924648254536167, 21.220767838471843, 3, 1, 0, 0], [462, 2.1301385687622862, 21.385353243127252, 3, 1, 0, 0], [468, 2.1285073069762417, 21.56013697017808, 3, 1, 0, 0], [474, 2.138370247405689, 21.744873100867697, 3, 1, 0, 0], [480, 2.076054072302907, 21.99551020403488, 2, 1, 0, 0]]",0.42899355
