filename,frame_num,boxes,online_boxes,module_result,RBP
anomaly_52.mp4,120,"tensor([[148.5781,  82.2031, 171.4062, 115.5312]])","tensor([[148.6733,  82.1681,  23.2304,  33.8870]])","[[6, 0.8889611562093099, 0.0, 1, 0, 0, 0], [12, 0.8940012057099503, 0.0, 1, 0, 0, 0], [18, 0.9460271849602577, 0.0, 1, 0, 0, 0], [24, 0.9754641142479651, 0.0, 1, 0, 0, 0], [30, 0.991154995129051, 0.0, 1, 0, 0, 0], [36, 0.9913435033184138, 0.0, 1, 0, 0, 0], [42, 0.999554641081185, 0.0, 1, 0, 0, 1], [48, 1.012412612660872, 0.0, 1, 0, 0, 0], [54, 1.032116655391377, 0.0, 1, 0, 0, 0], [60, 1.0420544909327134, 0.0, 1, 0, 0, 0], [66, 1.053091457692157, 0.0, 1, 0, 0, 0], [72, 1.0723808347694046, 0.0, 1, 0, 0, 0], [78, 1.0769468632264534, 0.0, 2, 0, 0, 0], [84, 1.065362501906672, 0.0, 1, 0, 0, 0], [90, 1.0202868441451756, 0.0, 1, 0, 0, 0], [96, 1.032734914347543, 0.0, 1, 1, 0, 0], [102, 1.0509005620546457, 0.0, 1, 0, 0, 0], [108, 1.0698134895472624, 0.0, 1, 0, 1, 0], [114, 1.078686132416351, 0.0, 1, 0, 0, 0], [120, 1.0250102329182198, 0.0, 1, 0, 0, 0]]",0.4504445
anomaly_52.mp4,240,"tensor([[151.9219,  85.3125, 173.5859, 118.8906]])","tensor([[151.5688,  85.0314,  22.1759,  33.4057]])","[[126, 1.0042451986933354, 0.0, 1, 0, 0, 0], [132, 0.9945192977198, 0.0, 1, 0, 0, 0], [138, 0.9711720170212365, 0.0, 1, 0, 0, 0], [144, 0.9347193764798855, 0.0, 1, 0, 0, 0], [150, 0.7373188200646439, 0.0, 1, 0, 0, 0], [156, 0.7712054168796385, 0.0, 1, 0, 0, 0], [162, 0.713410611955311, 0.0, 1, 0, 0, 0], [168, 0.7089152527919774, 0.0, 1, 0, 0, 0], [174, 0.7354429181670525, 0.0, 1, 0, 0, 0], [180, 0.7381634589691922, 0.0, 1, 0, 0, 0], [186, 0.7203075192472284, 0.0, 1, 0, 0, 0], [192, 0.7446277437987684, 0.0, 1, 0, 0, 0], [198, 0.755250746536556, 0.0, 1, 0, 0, 0], [204, 0.7668980111993733, 0.0, 1, 0, 0, 0], [210, 0.7647928264382244, 0.0, 1, 0, 0, 0], [216, 0.8215815117103537, 0.0, 1, 0, 0, 0], [222, 0.9175662913988845, 0.0, 1, 0, 0, 0], [228, 0.9178437075670445, 0.0, 1, 0, 0, 0], [234, 0.9349387585517851, 0.0, 1, 0, 0, 0], [240, 0.9645847438857041, 0.0, 1, 0, 0, 0]]",0.40693045
anomaly_52.mp4,360,"tensor([[229.1953,  50.6406, 243.3047,  78.5156],
        [143.1328,  76.9219, 167.6094, 114.0312],
        [248.0234,  59.9531, 257.8320,  76.0703]])","tensor([[144.3856,  78.7719,  23.7685,  35.6806]])","[[246, 0.9756002782240026, 0.0, 1, 0, 0, 0], [252, 0.964377720275659, 0.0, 1, 0, 0, 0], [258, 0.9793853914093518, 0.0, 1, 0, 0, 0], [264, 0.883788573800563, 0.0, 1, 0, 0, 0], [270, 0.8935956488445053, 0.0, 1, 0, 0, 0], [276, 0.9154213435610927, 0.0, 1, 0, 0, 0], [282, 0.943666816120242, 0.0, 1, 0, 0, 0], [288, 0.9558708075878618, 0.0, 1, 0, 0, 0], [294, 0.9304659593013298, 0.0, 1, 0, 0, 0], [300, 0.9439894707816071, 0.0, 1, 0, 0, 0], [306, 0.9554517986402876, 0.0, 1, 0, 0, 0], [312, 0.9013559004719411, 0.0, 1, 0, 0, 0], [318, 0.8444567670204606, 0.0, 1, 0, 0, 0], [324, 0.8870460733560321, 0.0, 1, 0, 1, 0], [330, 0.8774011345527318, 0.0, 1, 0, 0, 0], [336, 0.940819694136394, 0.0, 2, 0, 0, 0], [342, 0.9541123963456073, 0.0, 1, 0, 0, 0], [348, 0.893862207704899, 0.0, 1, 0, 0, 0], [354, 0.9396219908811645, 0.0, 1, 0, 0, 1], [360, 1.1042635004314434, 0.0, 1, 0, 1, 1]]",0.46184555
anomaly_52.mp4,480,"tensor([[141.6484,  79.2656, 161.3750, 112.1406],
        [171.4297,  44.4219, 189.0156,  78.6250],
        [191.0938,  41.0156, 204.4141,  63.2031]])","tensor([[141.3253,  79.3658,  20.1396,  32.8229],
        [168.3447,  44.1819,  19.3806,  34.7570]])","[[366, 0.0, 0.0, 0, 0, 1, 1], [372, 0.0, 0.0, 0, 0, 1, 1], [378, 0.322579864189206, 29.5, 0, 0, 1, 1], [384, 0.3609698826970913, 29.0, 0, 0, 1, 1], [390, 1.1463524616208172, 27.353650985238193, 0, 0, 1, 2], [396, 1.7580186026797453, 27.58018612458347, 0, 1, 1, 1], [402, 1.688654024350986, 27.812866726670865, 0, 1, 1, 0], [408, 2.0576972591339504, 27.812866726670865, 2, 1, 0, 1], [414, 2.0974148175084935, 27.812866726670865, 0, 2, 1, 0], [420, 2.3047133135846307, 27.812866726670865, 0, 1, 1, 1], [426, 2.352507260860378, 27.812866726670865, 1, 1, 0, 1], [432, 1.3150179712203212, 27.34146220587984, 1, 0, 1, 0], [438, 1.317234217378451, 26.870057685088806, 3, 1, 0, 0], [444, 1.191398013891541, 26.398653164297773, 3, 0, 0, 0], [450, 2.114385367117054, 26.398653164297773, 3, 1, 1, 0], [456, 1.6531321904598333, 26.637484032009397, 1, 1, 0, 0], [462, 0.9607126973387494, 27.10883414846328, 1, 1, 0, 1], [468, 0.9138723159112961, 27.58018612458347, 0, 1, 1, 1], [474, 1.7400878188013849, 27.812866726670865, 1, 1, 1, 0], [480, 1.7378299499228451, 28.05153986662566, 1, 1, 1, 0]]",0.38231567
normal_trimmed_50.mp4,120,"tensor([[105.1250, 127.6250, 123.2109, 155.7812],
        [100.7734,  63.6406, 114.4023,  84.4219],
        [ 66.5430,  73.9453,  83.6797,  96.5781],
        [ 94.2266,  82.8750, 108.5312, 106.2812],
        [ 30.7188, 122.2734,  50.0703, 152.8906]])","tensor([[104.9017, 127.7034,  18.5605,  27.9963],
        [ 66.9419,  73.9659,  16.9415,  22.7354],
        [ 93.8727,  82.8462,  14.9453,  23.2148],
        [100.3578,  63.7093,  14.5885,  20.4265]])","[[6, 0.0, -1, 3, 2, 0, 0], [12, 1.5441844480568723, 0.0, 3, 2, 0, 0], [18, 1.6134637257325342, 0.0, 3, 2, 0, 0], [24, 1.1767160969489652, 0.4714045207910317, 2, 2, 0, 0], [30, 1.1923286164986895, 0.9428090415820634, 2, 2, 0, 0], [36, 1.165817397905215, 1.4142135623730951, 2, 2, 0, 0], [42, 1.1383018833842726, 1.8856180831641267, 2, 2, 0, 0], [48, 1.5455486229685391, 2.7726341266023544, 2, 2, 0, 0], [54, 1.5600409509005477, 3.0, 3, 2, 0, 0], [60, 1.9707981430387205, 3.4871191548325386, 3, 2, 0, 0], [66, 2.0033612160297025, 3.6660605559646724, 3, 2, 0, 0], [72, 2.0077051202751592, 3.878143885933063, 3, 2, 0, 0], [78, 2.0400110258642337, 4.1182520563948, 3, 2, 0, 0], [84, 2.000496913830607, 4.381780460041329, 3, 2, 0, 0], [90, 1.975518870656714, 4.66476151587624, 3, 2, 0, 0], [96, 1.94147269644247, 4.963869458396343, 3, 2, 0, 0], [102, 1.904367924833425, 5.276362383309167, 3, 2, 0, 0], [108, 1.9438645148876432, 5.6000000000000005, 3, 2, 0, 0], [114, 1.9672062749991521, 5.932958789676531, 3, 2, 0, 0], [120, 2.003688073770438, 6.273754856543249, 3, 2, 0, 0]]",0.46097437
normal_trimmed_50.mp4,240,"tensor([[ 76.7383, 128.9531,  99.3828, 157.8906],
        [ 90.3164,  65.1875, 103.9922,  85.2617],
        [ 43.0898,  79.2734,  58.8281, 103.7969],
        [ 31.1562, 122.5391,  50.1758, 152.0938],
        [ 90.7578,  84.8438, 105.7148, 107.1641],
        [230.1562,  99.3750, 250.1875, 128.6953]])","tensor([[ 76.1506, 128.9124,  22.8147,  29.1549],
        [ 90.8432,  84.8174,  14.4565,  22.1671],
        [ 90.2317,  65.1614,  13.3736,  20.0322],
        [ 31.1023, 122.5992,  19.0141,  29.7582],
        [ 42.9975,  79.1139,  16.2106,  24.3424]])","[[126, 2.0714792048859727, 6.6211781428987395, 3, 2, 0, 0], [132, 2.0431256476198145, 6.974238309665077, 4, 2, 0, 0], [138, 2.683171423276015, 8.532617157446802, 3, 2, 0, 0], [144, 2.65702345260861, 8.749603165604459, 3, 2, 0, 0], [150, 2.6773996019345985, 8.976822006330154, 3, 2, 0, 0], [156, 2.71047386943021, 9.213516640723501, 3, 3, 0, 0], [162, 2.7455635702870276, 9.458975749108475, 3, 3, 0, 1], [168, 2.7192549500307757, 9.71253485622231, 3, 3, 0, 1], [174, 2.799116201032992, 9.973576200251452, 3, 3, 0, 1], [180, 2.703506229034943, 10.241527663824812, 3, 3, 0, 1], [186, 2.6708872575446847, 10.515861036231572, 3, 2, 0, 2], [192, 2.6820941938863285, 10.79608982713443, 3, 2, 0, 1], [198, 2.68313055271467, 11.081766806586193, 3, 2, 0, 1], [204, 2.7097416281204616, 11.372481406154654, 3, 2, 0, 2], [210, 2.793998638343278, 11.667857082124758, 5, 2, 0, 1], [216, 2.7047145291384376, 11.967548714010828, 5, 2, 0, 1], [222, 2.696359235558956, 13.877010793806733, 5, 2, 0, 1], [228, 3.2875334955646807, 14.726145965594664, 5, 2, 0, 0], [234, 2.8753146728053287, 14.889173919328098, 4, 2, 0, 0], [240, 2.8764967899120437, 15.066000630558861, 4, 2, 0, 0]]",0.448779
normal_trimmed_39.mp4,120,"tensor([[270.8867,  80.2500, 287.0234, 107.3750],
        [285.2734,  57.3438, 294.6836,  74.0898]])","tensor([[284.6884,  57.2085,  10.1634,  16.8791],
        [270.8277,  80.3563,  16.4301,  26.6948]])","[[6, 0.0, -1, 1, 0, 0, 0], [12, 0.24125275334151533, 0.0, 1, 0, 0, 0], [18, 0.23373779124439645, 0.0, 1, 1, 0, 0], [24, 0.23500923209284488, 0.0, 1, 2, 0, 0], [30, 0.23152370889094698, 0.0, 1, 1, 0, 0], [36, 0.2358979292839649, 0.0, 1, 1, 0, 0], [42, 0.23325381042003102, 0.0, 1, 2, 0, 0], [48, 0.23288194690663508, 0.0, 1, 2, 0, 0], [54, 0.24373647509772667, 0.0, 1, 1, 0, 0], [60, 0.24335843531098553, 0.0, 1, 2, 0, 0], [66, 0.2617199133334793, 0.0, 1, 1, 0, 0], [72, 0.9112129630322366, 5.0, 1, 1, 0, 0], [78, 0.7970814469496877, 5.0, 1, 1, 0, 0], [84, 0.7406014192232035, 5.0, 1, 1, 0, 0], [90, 0.7247960488614732, 5.0, 1, 1, 0, 0], [96, 0.7202026721111187, 5.0, 1, 1, 0, 0], [102, 0.7417248436295955, 5.0, 1, 1, 0, 0], [108, 0.752193683590761, 5.0, 2, 0, 0, 0], [114, 0.771173848913179, 5.0, 1, 1, 0, 0], [120, 0.7944605353855607, 5.0, 1, 1, 0, 0]]",0.539921
normal_trimmed_39.mp4,240,"tensor([[283.9180,  56.6250, 293.6543,  73.1016],
        [257.8086,  77.4766, 271.3125,  98.7656],
        [169.4375,  60.9805, 183.7793,  80.9375]])","tensor([[283.8187,  56.6236,   9.8642,  16.5357],
        [258.8400,  77.6811,  12.6379,  21.5675],
        [169.7379,  60.8688,  13.9656,  19.8219]])","[[126, 0.8044918198145771, 5.0, 1, 1, 0, 0], [132, 0.8152998714132119, 5.0, 0, 2, 0, 0], [138, 0.8257320454576794, 5.0, 0, 2, 0, 0], [144, 0.8234012635933871, 5.0, 1, 1, 0, 0], [150, 0.8411924825430859, 5.0, 1, 1, 0, 0], [156, 0.8448852818846007, 5.0, 1, 1, 0, 0], [162, 0.8319881043140924, 5.0, 1, 1, 0, 0], [168, 0.8103315838982894, 5.0, 1, 1, 0, 0], [174, 0.7959136271738411, 5.0, 1, 1, 0, 0], [180, 0.8139058821212283, 5.0, 1, 1, 0, 0], [186, 0.8333033796394531, 5.0, 1, 1, 0, 0], [192, 0.8215350021535054, 5.0, 1, 1, 0, 0], [198, 0.7666858133914806, 5.0, 3, 0, 0, 0], [204, 0.7055722676664212, 5.0, 2, 0, 0, 0], [210, 0.7726818854029744, 5.0, 1, 1, 0, 0], [216, 0.7607002374624253, 5.0, 2, 1, 0, 0], [222, 0.7929144608426432, 5.0, 2, 1, 0, 0], [228, 0.21417553354156857, 5.5, 2, 1, 0, 0], [234, 0.603983951420536, 15.412837362262522, 2, 1, 0, 0], [240, 0.9277382036139414, 16.170961628796228, 2, 1, 0, 0]]",0.38891575
normal_trimmed_39.mp4,360,"tensor([[238.4922,  97.3125, 258.0938, 127.2500],
        [279.5508,  66.9688, 294.9297,  89.3047],
        [285.0938,  57.5781, 294.6797,  73.3789]])","tensor([[285.1311,  57.6134,   9.5704,  15.7295],
        [241.3507,  94.5761,  19.1010,  29.6255]])","[[246, 0.8869904772919859, 16.037066439969625, 3, 1, 0, 0], [252, 0.8639274270168992, 15.913830462839549, 2, 1, 0, 0], [258, 0.9086632099898111, 15.801503093060482, 2, 1, 0, 0], [264, 1.1627038738252153, 15.801503093060482, 3, 1, 0, 0], [270, 0.4624920240719585, 15.943258763502524, 1, 1, 0, 0], [276, 0.4665947366744139, 16.099301227071937, 1, 1, 0, 0], [282, 0.45262074592359386, 16.269219403523945, 1, 2, 0, 0], [288, 0.21774378720031962, 16.64331697709324, 2, 0, 0, 0], [294, 0.20626072918994964, 17.020208576865326, 1, 1, 0, 0], [300, 0.4001798092667646, 17.210098779495716, 1, 1, 0, 0], [306, 0.19315790958100246, 17.592612085759182, 1, 0, 0, 0], [312, 0.19436379004500756, 17.977416388346796, 1, 0, 0, 0], [318, 0.19307665851512112, 18.364367672206956, 2, 0, 0, 0], [324, 0.1956083723402505, 18.7533330370897, 2, 1, 0, 0], [330, 0.195586947190165, 19.144189719076646, 2, 1, 0, 0], [336, 0.601483085604837, 19.35846068260594, 2, 0, 0, 0], [342, 1.0449135508775078, 19.613452016409553, 3, 0, 0, 0], [348, 0.7845829983774782, 19.84155991851447, 3, 0, 0, 0], [354, 0.8600387769125912, 20.07952937695503, 3, 0, 0, 0], [360, 0.9328320997786932, 20.327014045353536, 3, 0, 0, 0]]",0.51240104
normal_trimmed_39.mp4,480,"tensor([[217.1875, 115.0781, 242.1094, 147.6133],
        [179.8125,  89.4375, 200.5312, 120.0312],
        [286.6777,  58.8750, 296.3125,  75.0625]])","tensor([[217.5022, 115.2635,  24.1582,  32.4644],
        [179.0718,  89.5767,  22.0631,  29.9415],
        [286.6148,  59.0484,   9.8095,  16.0137]])","[[366, 1.019705426647879, 20.58367071248469, 2, 1, 0, 0], [372, 1.1226048958982726, 20.849160654568326, 2, 0, 0, 0], [378, 1.2009873621402012, 21.123150806638673, 2, 0, 0, 0], [384, 1.1994838092348323, 21.405314760591587, 2, 0, 0, 0], [390, 1.0124052135756756, 21.295539439046856, 1, 1, 0, 0], [396, 1.001319951976427, 21.194043974664204, 2, 1, 0, 0], [402, 0.9564609781906862, 21.10094784600919, 3, 1, 0, 0], [408, 0.9306259844790551, 21.016362672927016, 3, 1, 0, 0], [414, 0.9194787053528822, 20.940391591371924, 2, 1, 0, 0], [420, 0.9438464012421406, 20.873128658636684, 3, 1, 0, 0], [426, 0.9619971033543683, 20.81465829649865, 4, 0, 0, 0], [432, 0.9514719213797491, 20.765054779605084, 4, 0, 0, 0], [438, 1.677434247122008, 22.081666603768838, 4, 0, 0, 0], [444, 1.7126300654737558, 21.896118377465903, 3, 1, 0, 0], [450, 1.8814811990344324, 22.063544592834578, 3, 1, 0, 0], [456, 1.9320364891794908, 22.24050359142077, 3, 1, 0, 0], [462, 1.9732177257435335, 22.426769718352215, 3, 1, 0, 0], [468, 1.9669229828015418, 22.62211307548435, 3, 1, 0, 0], [474, 1.9759537587302323, 22.826300620118015, 3, 1, 0, 0], [480, 2.0859023204319413, 23.03909720453473, 2, 1, 0, 0]]",0.44915253
