filename,frame_num,boxes,online_boxes,module_result,RBP
anomaly_52.mp4,120,"tensor([[148.5781,  82.2031, 171.4062, 115.5312,   0.7642]])","tensor([[148.6700,  82.1680,  23.2369,  33.8872]])","[[6, 0.8889611562093099, 0.0, 1, 0, 0, 0], [12, 0.8940012057099503, 0.0, 1, 0, 0, 0], [18, 0.9460271849602577, 0.0, 1, 0, 0, 0], [24, 0.9754641142479651, 0.0, 1, 0, 0, 0], [30, 0.991154995129051, 0.0, 1, 0, 0, 0], [36, 0.9913435033184138, 0.0, 1, 0, 0, 0], [42, 0.999554641081185, 0.0, 1, 0, 0, 1], [48, 1.012412612660872, 0.0, 1, 0, 0, 0], [54, 1.032116655391377, 0.0, 1, 0, 0, 0], [60, 1.0420544909327134, 0.0, 1, 0, 0, 0], [66, 1.053091457692157, 0.0, 1, 0, 0, 0], [72, 1.0723808347694046, 0.0, 1, 0, 0, 0], [78, 1.0742608153568274, 0.0, 2, 0, 0, 0], [84, 1.064629425629543, 0.0, 1, 0, 0, 0], [90, 1.0202903522682998, 0.0, 1, 0, 0, 0], [96, 1.0329920899902163, 0.0, 1, 1, 0, 0], [102, 1.0512362692747956, 0.0, 1, 0, 0, 0], [108, 1.0701619829455922, 0.0, 1, 0, 1, 0], [114, 1.0790204063097992, 0.0, 1, 0, 0, 0], [120, 1.0253061703539668, 0.0, 1, 0, 0, 0]]",0.33880225
anomaly_52.mp4,240,"tensor([[151.9219,  85.3125, 173.5859, 118.8906,   0.7379]])","tensor([[151.5683,  85.0313,  22.1768,  33.4057]])","[[126, 1.0045103590334368, 0.0, 1, 0, 0, 0], [132, 0.994758036278597, 0.0, 1, 0, 0, 0], [138, 0.9713837223464452, 0.0, 1, 0, 0, 0], [144, 0.9349042804752798, 0.0, 1, 0, 0, 0], [150, 0.7374541431467208, 0.0, 1, 0, 0, 0], [156, 0.7713310574153619, 0.0, 1, 0, 0, 0], [162, 0.7135163344017504, 0.0, 1, 0, 0, 0], [168, 0.7090098599815775, 0.0, 1, 0, 0, 0], [174, 0.7355310713402238, 0.0, 1, 0, 0, 0], [180, 0.7382436962213225, 0.0, 1, 0, 0, 0], [186, 0.7203781631981011, 0.0, 1, 0, 0, 0], [192, 0.7446936788387006, 0.0, 1, 0, 0, 0], [198, 0.7553115189468969, 0.0, 1, 0, 0, 0], [204, 0.766953869357233, 0.0, 1, 0, 0, 0], [210, 0.7648433643724672, 0.0, 1, 0, 0, 0], [216, 0.8216304661375536, 0.0, 1, 0, 0, 0], [222, 0.9176159393185893, 0.0, 1, 0, 0, 0], [228, 0.9178889233504984, 0.0, 1, 0, 0, 0], [234, 0.9349804612270418, 0.0, 1, 0, 0, 0], [240, 0.9646238442539357, 0.0, 1, 0, 0, 0]]",0.32739025
anomaly_52.mp4,360,"tensor([[229.1953,  50.6406, 243.3047,  78.5156,   0.6514],
        [143.1328,  76.9219, 167.6094, 114.0312,   0.5898],
        [248.0234,  59.9531, 257.8320,  76.0703,   0.5273]])","tensor([[144.3855,  78.7719,  23.7686,  35.6806]])","[[246, 0.975636109134598, 0.0, 1, 0, 0, 0], [252, 0.9644097858426903, 0.0, 1, 0, 0, 0], [258, 0.9794149741565358, 0.0, 1, 0, 0, 0], [264, 0.8838126473212545, 0.0, 1, 0, 0, 0], [270, 0.8936176823829575, 0.0, 1, 0, 0, 0], [276, 0.9154416755741579, 0.0, 1, 0, 0, 0], [282, 0.9436858463060579, 0.0, 1, 0, 0, 0], [288, 0.9558883273483237, 0.0, 1, 0, 0, 0], [294, 0.9304813272367388, 0.0, 1, 0, 0, 0], [300, 0.9440035500116531, 0.0, 1, 0, 0, 0], [306, 0.9554646226407991, 0.0, 1, 0, 0, 0], [312, 0.901367010653189, 0.0, 1, 0, 0, 0], [318, 0.8444661310089098, 0.0, 1, 0, 0, 0], [324, 0.8870549017963469, 0.0, 1, 0, 1, 0], [330, 0.8774090259444071, 0.0, 1, 0, 0, 0], [336, 0.9408273759459007, 0.0, 2, 0, 0, 0], [342, 0.9541192583919269, 0.0, 1, 0, 0, 0], [348, 0.8938681322857936, 0.0, 1, 0, 0, 0], [354, 0.9396275736631404, 0.0, 1, 0, 0, 1], [360, 1.1042694669956177, 0.0, 1, 0, 1, 1]]",0.35711142
anomaly_52.mp4,480,"tensor([[141.6484,  79.2656, 161.3750, 112.1406,   0.6058],
        [171.4297,  44.4219, 189.0156,  78.6250,   0.5332],
        [191.0938,  41.0156, 204.4141,  63.2031,   0.4513]])","tensor([[141.3253,  79.3658,  20.1396,  32.8229],
        [168.3447,  44.1819,  19.3806,  34.7570]])","[[366, 0.0, 0.0, 0, 0, 1, 1], [372, 0.0, 0.0, 0, 0, 1, 1], [378, 0.322579864189206, 29.5, 0, 0, 1, 1], [384, 0.3609698826970913, 29.0, 0, 0, 1, 1], [390, 1.1463524616208172, 27.353650985238193, 0, 0, 1, 2], [396, 1.758023523443607, 27.58018612458347, 0, 1, 1, 1], [402, 1.688658086098864, 27.812866726670865, 0, 1, 1, 0], [408, 2.057700934126918, 27.812866726670865, 2, 1, 0, 1], [414, 2.097418306464462, 27.812866726670865, 0, 2, 1, 0], [420, 2.3047163597136637, 27.812866726670865, 0, 1, 1, 1], [426, 2.352510093507405, 27.812866726670865, 1, 1, 0, 1], [432, 1.3150179712203212, 27.34146220587984, 1, 0, 1, 0], [438, 1.317234217378451, 26.870057685088806, 3, 1, 0, 0], [444, 1.191398013891541, 26.398653164297773, 3, 0, 0, 0], [450, 2.114387693505461, 26.398653164297773, 3, 1, 1, 0], [456, 1.6531341273989522, 26.637484032009397, 1, 1, 0, 0], [462, 0.9607144189637135, 27.10883414846328, 1, 1, 0, 1], [468, 0.9138737415043465, 27.58018612458347, 0, 1, 1, 1], [474, 1.7400890500926494, 27.812866726670865, 1, 1, 1, 0], [480, 1.737831009639611, 28.05153986662566, 1, 1, 1, 0]]",0.9219891
normal_trimmed_50.mp4,120,"tensor([[105.1250, 127.6250, 123.2109, 155.7812,   0.7506],
        [100.7734,  63.6406, 114.4023,  84.4219,   0.7154],
        [ 66.5625,  73.9766,  83.7031,  96.6875,   0.7138],
        [ 94.2266,  82.8750, 108.5312, 106.2812,   0.6893],
        [ 30.7188, 122.2734,  50.0703, 152.8906,   0.3648]])","tensor([[104.9017, 127.7034,  18.5605,  27.9963],
        [ 66.9394,  73.9865,  16.9748,  22.7870],
        [ 93.8727,  82.8462,  14.9453,  23.2148],
        [100.3578,  63.7093,  14.5885,  20.4265]])","[[6, 0.0, -1, 3, 2, 0, 0], [12, 1.5441844480568723, 0.0, 3, 2, 0, 0], [18, 1.6134637257325342, 0.0, 3, 2, 0, 0], [24, 1.1767160969489652, 0.4714045207910317, 2, 2, 0, 0], [30, 1.1923286164986895, 0.9428090415820634, 2, 2, 0, 0], [36, 1.165817397905215, 1.4142135623730951, 2, 2, 0, 0], [42, 1.1383018833842726, 1.8856180831641267, 2, 2, 0, 0], [48, 1.5455486229685391, 2.7726341266023544, 2, 2, 0, 0], [54, 1.5600409509005477, 3.0, 3, 2, 0, 0], [60, 1.9707981430387205, 3.4871191548325386, 3, 2, 0, 0], [66, 2.0033612160297025, 3.6660605559646724, 3, 2, 0, 0], [72, 2.0077051202751592, 3.878143885933063, 3, 2, 0, 0], [78, 2.0400110258642337, 4.1182520563948, 3, 2, 0, 0], [84, 2.000496913830607, 4.381780460041329, 3, 2, 0, 0], [90, 1.975518870656714, 4.66476151587624, 3, 2, 0, 0], [96, 1.94147269644247, 4.963869458396343, 3, 2, 0, 0], [102, 1.904367924833425, 5.276362383309167, 3, 2, 0, 0], [108, 1.9438645148876432, 5.6000000000000005, 3, 2, 0, 0], [114, 1.9672062749991521, 5.932958789676531, 3, 2, 0, 0], [120, 2.0058156521692894, 6.273754856543249, 3, 2, 0, 0]]",0.24331114
normal_trimmed_50.mp4,240,"tensor([[ 76.7383, 128.9531,  99.3828, 157.8906,   0.7684],
        [ 90.3164,  65.1875, 103.9922,  85.2617,   0.7356],
        [ 43.0898,  79.2734,  58.8281, 103.7969,   0.7341],
        [ 31.1562, 122.5391,  50.1758, 152.0938,   0.6984],
        [ 90.7578,  84.8438, 105.7148, 107.1641,   0.6732],
        [230.1562,  99.3750, 250.1875, 128.6953,   0.2751]])","tensor([[ 76.1536, 128.9126,  22.8091,  29.1550],
        [ 90.8432,  84.8174,  14.4565,  22.1671],
        [ 90.2317,  65.1614,  13.3736,  20.0322],
        [ 31.0935, 122.5935,  19.0300,  29.7694],
        [ 42.9975,  79.1139,  16.2106,  24.3424]])","[[126, 2.0722016293758143, 6.6211781428987395, 3, 2, 0, 0], [132, 2.0433183157092927, 6.974238309665077, 4, 2, 0, 0], [138, 2.6674412156958853, 8.532617157446802, 3, 2, 0, 0], [144, 2.6537557361537436, 8.749603165604459, 3, 2, 0, 0], [150, 2.678085478187306, 8.976822006330154, 3, 2, 0, 0], [156, 2.712040615383148, 9.213516640723501, 3, 3, 0, 0], [162, 2.74713305925683, 9.458975749108475, 3, 3, 0, 1], [168, 2.720674806247646, 9.71253485622231, 3, 3, 0, 1], [174, 2.8003439287993928, 9.973576200251452, 3, 3, 0, 1], [180, 2.704565094810969, 10.241527663824812, 3, 3, 0, 1], [186, 2.6717900361464784, 10.515861036231572, 3, 2, 0, 2], [192, 2.6829044701980584, 10.79608982713443, 3, 2, 0, 1], [198, 2.6838623246793487, 11.081766806586193, 3, 2, 0, 1], [204, 2.7080739502504114, 11.372481406154654, 3, 2, 0, 2], [210, 2.792300470074764, 11.667857082124758, 5, 2, 0, 1], [216, 2.7041791132255426, 11.967548714010828, 5, 2, 0, 1], [222, 2.7043315259010305, 13.877010793806733, 5, 2, 0, 1], [228, 3.290711827730405, 14.726145965594664, 5, 2, 0, 0], [234, 2.876709897824173, 14.889173919328098, 4, 2, 0, 0], [240, 2.8771830673170817, 15.066000630558861, 4, 2, 0, 0]]",0.22389537
normal_trimmed_39.mp4,120,"tensor([[270.8867,  80.2500, 287.0234, 107.3750,   0.6851],
        [285.2734,  57.3438, 294.6836,  74.0898,   0.5176]])","tensor([[284.6884,  57.2085,  10.1634,  16.8791],
        [270.8277,  80.3563,  16.4301,  26.6948]])","[[6, 0.0, -1, 1, 0, 0, 0], [12, 0.24125275334151533, 0.0, 1, 0, 0, 0], [18, 0.23373779124439645, 0.0, 1, 1, 0, 0], [24, 0.23500923209284488, 0.0, 1, 2, 0, 0], [30, 0.23152370889094698, 0.0, 1, 1, 0, 0], [36, 0.2358979292839649, 0.0, 1, 1, 0, 0], [42, 0.23325381042003102, 0.0, 1, 2, 0, 0], [48, 0.23288194690663508, 0.0, 1, 2, 0, 0], [54, 0.24373647509772667, 0.0, 1, 1, 0, 0], [60, 0.24335843531098553, 0.0, 1, 2, 0, 0], [66, 0.2617199133334793, 0.0, 1, 1, 0, 0], [72, 0.9112129630322366, 5.0, 1, 1, 0, 0], [78, 0.7970814469496877, 5.0, 1, 1, 0, 0], [84, 0.7406014192232035, 5.0, 1, 1, 0, 0], [90, 0.7247960488614732, 5.0, 1, 1, 0, 0], [96, 0.7202026721111187, 5.0, 1, 1, 0, 0], [102, 0.7417248436295955, 5.0, 1, 1, 0, 0], [108, 0.752193683590761, 5.0, 2, 0, 0, 0], [114, 0.771173848913179, 5.0, 1, 1, 0, 0], [120, 0.7944605353855607, 5.0, 1, 1, 0, 0]]",0.3066144
normal_trimmed_39.mp4,240,"tensor([[283.9180,  56.6250, 293.6543,  73.1016,   0.7326],
        [257.8086,  77.4766, 271.3125,  98.7656,   0.6943],
        [169.4375,  60.9805, 183.7793,  80.9375,   0.5631]])","tensor([[283.8187,  56.6236,   9.8642,  16.5357],
        [258.8400,  77.6811,  12.6379,  21.5675],
        [169.7379,  60.8688,  13.9656,  19.8219]])","[[126, 0.8044918198145771, 5.0, 1, 1, 0, 0], [132, 0.8152998714132119, 5.0, 0, 2, 0, 0], [138, 0.8257320454576794, 5.0, 0, 2, 0, 0], [144, 0.8234012635933871, 5.0, 1, 1, 0, 0], [150, 0.8411924825430859, 5.0, 1, 1, 0, 0], [156, 0.8448852818846007, 5.0, 1, 1, 0, 0], [162, 0.8319881043140924, 5.0, 1, 1, 0, 0], [168, 0.8103315838982894, 5.0, 1, 1, 0, 0], [174, 0.7959136271738411, 5.0, 1, 1, 0, 0], [180, 0.8139058821212283, 5.0, 1, 1, 0, 0], [186, 0.8333033796394531, 5.0, 1, 1, 0, 0], [192, 0.8215350021535054, 5.0, 1, 1, 0, 0], [198, 0.7666858133914806, 5.0, 3, 0, 0, 0], [204, 0.7055722676664212, 5.0, 2, 0, 0, 0], [210, 0.7726818854029744, 5.0, 1, 1, 0, 0], [216, 0.7607002374624253, 5.0, 2, 1, 0, 0], [222, 0.7929144608426432, 5.0, 2, 1, 0, 0], [228, 0.21417553354156857, 5.5, 2, 1, 0, 0], [234, 0.603983951420536, 15.412837362262522, 2, 1, 0, 0], [240, 0.9277382036139414, 16.170961628796228, 2, 1, 0, 0]]",0.2875266
normal_trimmed_39.mp4,360,"tensor([[238.4922,  97.3125, 258.0938, 127.2500,   0.7732],
        [279.5508,  66.9688, 294.9297,  89.3047,   0.3329],
        [285.0938,  57.5781, 294.6797,  73.3789,   0.3311]])","tensor([[285.1311,  57.6134,   9.5704,  15.7295],
        [241.3482,  94.5762,  19.1056,  29.6256]])","[[246, 0.888707069072564, 16.037066439969625, 3, 1, 0, 0], [252, 0.8645152414425231, 15.913830462839549, 2, 1, 0, 0], [258, 0.9089394869494262, 15.801503093060482, 2, 1, 0, 0], [264, 1.1628805698389613, 15.801503093060482, 3, 1, 0, 0], [270, 0.46262974888454284, 15.943258763502524, 1, 1, 0, 0], [276, 0.4667145584093693, 16.099301227071937, 1, 1, 0, 0], [282, 0.4527184391933498, 16.269219403523945, 1, 2, 0, 0], [288, 0.21774378720031962, 16.64331697709324, 2, 0, 0, 0], [294, 0.20626072918994964, 17.020208576865326, 1, 1, 0, 0], [300, 0.4002612704196717, 17.210098779495716, 1, 1, 0, 0], [306, 0.19315790958100246, 17.592612085759182, 1, 0, 0, 0], [312, 0.19436379004500756, 17.977416388346796, 1, 0, 0, 0], [318, 0.19307665851512112, 18.364367672206956, 2, 0, 0, 0], [324, 0.1956083723402505, 18.7533330370897, 2, 1, 0, 0], [330, 0.195586947190165, 19.144189719076646, 2, 1, 0, 0], [336, 0.6016457900899077, 19.35846068260594, 2, 0, 0, 0], [342, 1.0450837591881619, 19.613452016409553, 3, 0, 0, 0], [348, 0.784766377430889, 19.84155991851447, 3, 0, 0, 0], [354, 0.8602204761197474, 20.07952937695503, 3, 0, 0, 0], [360, 0.9330106132741017, 20.327014045353536, 3, 0, 0, 0]]",0.29870608
normal_trimmed_39.mp4,480,"tensor([[2.1719e+02, 1.1508e+02, 2.4211e+02, 1.4761e+02, 8.0867e-01],
        [1.7981e+02, 8.9438e+01, 2.0053e+02, 1.2003e+02, 6.9513e-01],
        [2.8668e+02, 5.8875e+01, 2.9631e+02, 7.5062e+01, 2.6436e-01]])","tensor([[217.5019, 115.2636,  24.1589,  32.4644],
        [179.0718,  89.5767,  22.0631,  29.9415],
        [286.6148,  59.0484,   9.8095,  16.0137]])","[[366, 1.0198811713128084, 20.58367071248469, 2, 1, 0, 0], [372, 1.1227786719948085, 20.849160654568326, 2, 0, 0, 0], [378, 1.2011523477763906, 21.123150806638673, 2, 0, 0, 0], [384, 1.199628114097699, 21.405314760591587, 2, 0, 0, 0], [390, 1.01254065658343, 21.295539439046856, 1, 1, 0, 0], [396, 1.0014395027343426, 21.194043974664204, 2, 1, 0, 0], [402, 0.9565626664343275, 21.10094784600919, 3, 1, 0, 0], [408, 0.9307142300838933, 21.016362672927016, 3, 1, 0, 0], [414, 0.9195566721551813, 20.940391591371924, 2, 1, 0, 0], [420, 0.9439179945459367, 20.873128658636684, 3, 1, 0, 0], [426, 0.9620625960578764, 20.81465829649865, 4, 0, 0, 0], [432, 0.9515302045042281, 20.765054779605084, 4, 0, 0, 0], [438, 1.677486658398171, 22.081666603768838, 4, 0, 0, 0], [444, 1.7126770831281275, 21.896118377465903, 3, 1, 0, 0], [450, 1.8815237410218493, 22.063544592834578, 3, 1, 0, 0], [456, 1.9320753896308531, 22.24050359142077, 3, 1, 0, 0], [462, 1.973253139900744, 22.426769718352215, 3, 1, 0, 0], [468, 1.9669551862793377, 22.62211307548435, 3, 1, 0, 0], [474, 1.9759831401210022, 22.826300620118015, 3, 1, 0, 0], [480, 2.0859293695474768, 23.03909720453473, 2, 1, 0, 0]]",0.2611256
