filename,frame_num,boxes,online_boxes,module_result,RBP
anomaly_52.mp4,100,"tensor([[150.2617,  82.2969, 172.7656, 116.4219]])","tensor([[149.8877,  82.2962,  23.3201,  34.0867]])","[[5, 0.8889611562093099, 0.0, 1, 0, 0, 0], [10, 0.8936079221666565, 0.0, 1, 0, 0, 0], [15, 0.9311115270456819, 0.0, 1, 0, 0, 0], [20, 0.9582965260296987, 0.0, 1, 0, 0, 0], [25, 0.9797457961123257, 0.0, 1, 0, 0, 0], [30, 0.9910692074352596, 0.0, 1, 0, 0, 0], [35, 0.9812791554078141, 0.0, 1, 0, 0, 0], [40, 0.993976469298417, 0.0, 1, 0, 0, 0], [45, 1.0081426395532844, 0.0, 1, 0, 0, 0], [50, 1.008134974131167, 0.0, 1, 0, 0, 0], [55, 1.0291542409317458, 0.0, 1, 0, 0, 0], [60, 1.0369991306433803, 0.0, 1, 0, 0, 0], [65, 1.0472798566400172, 0.0, 1, 0, 0, 0], [70, 1.065197013591425, 0.0, 1, 0, 0, 0], [75, 1.0773373749597208, 0.0, 1, 0, 0, 0], [80, 1.074391453431114, 0.0, 1, 0, 0, 0], [85, 1.0577903375474402, 0.0, 1, 0, 0, 0], [90, 1.0116557274674278, 0.0, 1, 0, 0, 0], [95, 1.0269713977409367, 0.0, 1, 0, 0, 0], [100, 1.0350322654186737, 0.0, 1, 0, 0, 0]]",0.504151
anomaly_52.mp4,200,"tensor([[154.2812,  88.7344, 173.6328, 118.7031]])","tensor([[154.1650,  88.7974,  20.0349,  29.5326]])","[[105, 1.0600698175923924, 0.0, 1, 0, 0, 0], [110, 1.0678315216569179, 0.0, 1, 0, 0, 0], [115, 1.0731495873969077, 0.0, 1, 0, 0, 0], [120, 1.0175740828126436, 0.0, 1, 0, 0, 0], [125, 0.993830527887288, 0.0, 1, 0, 0, 0], [130, 0.9837800336680876, 0.0, 1, 0, 0, 0], [135, 0.9855423019916429, 0.0, 1, 0, 0, 0], [140, 0.9459515196651106, 0.0, 1, 0, 0, 0], [145, 0.9234206888105897, 0.0, 1, 0, 0, 0], [150, 0.7325065453539992, 0.0, 1, 0, 0, 0], [155, 0.7511891216055536, 0.0, 1, 0, 0, 0], [160, 0.740126742858981, 0.0, 1, 0, 0, 0], [165, 0.6897677432854389, 0.0, 1, 0, 0, 0], [170, 0.7113266502171456, 0.0, 1, 0, 0, 0], [175, 0.7370274284832874, 0.0, 1, 0, 0, 0], [180, 0.7390742638287975, 0.0, 1, 0, 0, 0], [185, 0.7215059351713364, 0.0, 1, 0, 0, 0], [190, 0.7735963606826886, 0.0, 1, 0, 0, 0], [195, 0.7368289706290057, 0.0, 1, 0, 0, 0], [200, 0.7704177691278602, 0.0, 1, 0, 0, 0]]",0.46487996
anomaly_52.mp4,300,"tensor([[149.6406,  83.1406, 171.4375, 116.4453]])","tensor([[149.5237,  83.0220,  21.7546,  33.2194]])","[[205, 0.7768949677211291, 0.0, 1, 0, 0, 0], [210, 0.7684991771152502, 0.0, 1, 0, 0, 0], [215, 0.7633470079276018, 0.0, 1, 0, 0, 0], [220, 0.8600351804189567, 0.0, 1, 0, 0, 0], [225, 0.906466228679534, 0.0, 1, 0, 0, 0], [230, 0.9097006872522874, 0.0, 1, 0, 0, 0], [235, 0.9497268668642675, 0.0, 1, 0, 0, 0], [240, 0.9671374907156481, 0.0, 1, 0, 0, 0], [245, 0.9736387780108279, 0.0, 1, 0, 0, 0], [250, 0.9770625306028933, 0.0, 1, 0, 0, 0], [255, 0.956427594316466, 0.0, 1, 0, 0, 0], [260, 0.9590207104785501, 0.0, 1, 0, 0, 0], [265, 0.8893962082865414, 0.0, 1, 0, 0, 0], [270, 0.8928343932864209, 0.0, 1, 0, 0, 0], [275, 0.9230283608943827, 0.0, 1, 0, 0, 0], [280, 0.9431208762237588, 0.0, 1, 0, 0, 0], [285, 0.9560490185765881, 0.0, 1, 0, 0, 0], [290, 0.9427114952397252, 0.0, 1, 0, 0, 0], [295, 0.9282099870021057, 0.0, 1, 0, 0, 0], [300, 0.9409839829552405, 0.0, 1, 0, 0, 0]]",0.49861825
anomaly_52.mp4,400,"tensor([[193.4297,  47.3516, 210.0234,  78.6875],
        [143.6758,  75.1875, 163.8828, 109.6719]])","tensor([[193.8683,  47.2624,  17.0627,  31.3776],
        [142.0522,  75.0188,  22.5752,  34.9668]])","[[305, 0.9522908950844832, 0.0, 1, 0, 0, 0], [310, 0.9000685458709275, 0.0, 1, 0, 0, 0], [315, 0.8443742245644236, 0.0, 1, 0, 0, 0], [320, 0.849385547615725, 0.0, 1, 0, 0, 0], [325, 0.8984531058424446, 0.0, 1, 0, 0, 0], [330, 0.8812723141335065, 0.0, 1, 0, 0, 0], [335, 0.9416972957274083, 0.0, 1, 0, 0, 0], [340, 0.9523776245169225, 0.0, 1, 0, 0, 0], [345, 0.896821888547521, 0.0, 1, 0, 0, 0], [350, 0.9002296406870679, 0.0, 1, 0, 0, 0], [355, 1.022273139403751, 0.0, 1, 0, 0, 0], [360, 1.1358320126708652, 0.0, 1, 0, 1, 1], [365, 0.20411702875742557, 35.5, 0, 0, 0, 1], [370, 0.27885562980138445, 35.0, 0, 0, 0, 1], [375, 0.35754735210515776, 34.5, 0, 0, 1, 1], [380, 0.35354443427227505, 34.0, 0, 0, 0, 1], [385, 0.3492335486279832, 33.5, 0, 0, 1, 1], [390, 1.1966093629536068, 32.355662392986005, 0, 0, 1, 1], [395, 1.8430552913206952, 32.567877834864625, 0, 1, 1, 0], [400, 1.7249589234772789, 32.7854981491648, 0, 1, 1, 0]]",0.5731603
anomaly_52.mp4,500,"tensor([[141.1406,  78.8125, 162.5859, 113.3828],
        [185.8281,  49.7656, 199.5547,  73.4531]])","tensor([[141.1469,  78.8097,  21.2109,  34.6891]])","[[405, 0.508370248792931, 32.567877834864625, 1, 0, 0, 1], [410, 1.5432854815231636, 32.82614134429381, 0, 1, 0, 1], [415, 2.243595687720135, 32.82614134429381, 1, 1, 1, 0], [420, 1.8733304217958182, 33.038697848970315, 0, 1, 1, 0], [425, 1.087300824801711, 33.50953429829917, 0, 1, 0, 0], [430, 0.840419117730761, 33.25657829663178, 1, 0, 1, 0], [435, 1.9077809518045779, 33.47967874530592, 0, 1, 1, 0], [440, 0.8529554347219914, 33.23652609203716, 3, 0, 0, 0], [445, 1.0137530694609798, 31.63463292026636, 3, 0, 0, 0], [450, 2.0181615523712915, 31.75984099456419, 2, 1, 0, 0], [455, 0.6197808371842655, 31.64253466459348, 1, 0, 0, 0], [460, 1.7757207848395449, 31.960913628993776, 1, 1, 0, 0], [465, 1.8330378318524272, 32.283896914715854, 0, 1, 1, 0], [470, 0.8869541481648374, 32.713720363174836, 0, 1, 0, 0], [475, 2.1041163964875786, 32.85194058195041, 1, 1, 1, 0], [480, 1.6995211891117208, 33.18132004607411, 0, 1, 1, 0], [485, 1.762858807741594, 33.514922049737784, 0, 1, 1, 0], [490, 0.9571481495687522, 33.943887520435844, 0, 1, 0, 0], [495, 1.8883193713256787, 34.28100786149672, 0, 1, 1, 0], [500, 0.9580583107890561, 34.70950878361721, 1, 1, 0, 0]]",0.51813227
normal_trimmed_50.mp4,100,"tensor([[104.7031, 128.0391, 122.7031, 155.3281],
        [ 68.8438,  74.0195,  85.6016,  96.6484],
        [ 93.9883,  82.3359, 108.4531, 104.0469],
        [101.0312,  64.0430, 115.0039,  83.8594]])","tensor([[104.6444, 128.0518,  18.1657,  27.2995],
        [ 68.9951,  73.9596,  16.7376,  22.6566],
        [ 93.9403,  82.5738,  14.1915,  21.8941],
        [100.7374,  64.1535,  15.0074,  19.9256]])","[[5, 0.0, -1, 2, 1, 0, 0], [10, 1.5554999691241183, 0.0, 3, 1, 0, 0], [15, 1.5505482374986195, 0.0, 2, 2, 0, 0], [20, 1.5605017696015033, 0.0, 2, 1, 0, 0], [25, 1.5849860726054932, 0.0, 2, 1, 0, 0], [30, 1.6023995838498855, 0.0, 2, 1, 0, 0], [35, 1.5901266404640708, 0.0, 2, 1, 0, 0], [40, 1.5775211994620832, 0.0, 2, 1, 0, 0], [45, 1.552647730249897, 0.0, 2, 1, 0, 0], [50, 1.556955371236948, 0.0, 3, 2, 0, 0], [55, 2.001341804529138, 3.897114317029974, 3, 1, 0, 0], [60, 2.0039928385437804, 3.897114317029974, 3, 2, 0, 0], [65, 2.0477185971069525, 3.897114317029974, 3, 1, 0, 0], [70, 2.043939962331715, 3.897114317029974, 3, 1, 0, 0], [75, 2.0371861458718548, 3.897114317029974, 3, 1, 0, 0], [80, 2.040858852567022, 3.897114317029974, 3, 1, 0, 0], [85, 2.008598486188523, 3.897114317029974, 3, 1, 0, 0], [90, 1.986310591097073, 3.897114317029974, 3, 2, 0, 0], [95, 2.7032460007817347, 6.8527366796047255, 3, 2, 0, 0], [100, 1.9189390505951092, 7.2, 3, 1, 0, 0]]",0.5306801
normal_trimmed_50.mp4,200,"tensor([[ 78.3906, 128.5312, 101.9062, 156.2812],
        [ 91.6211,  64.3984, 105.2422,  85.7422],
        [ 89.9141,  83.8516, 103.3750, 105.2734],
        [ 70.7305,  71.6797,  85.4688,  92.2852]])","tensor([[ 79.2242, 128.5944,  21.1841,  27.5118],
        [ 71.0582,  71.5224,  14.7192,  20.7084],
        [ 89.9904,  83.7015,  13.2984,  21.4274],
        [ 91.5695,  64.5889,  14.1154,  21.5729]])","[[105, 1.9404413267678864, 7.552483035399682, 3, 1, 0, 0], [110, 1.9523402208065026, 7.909487973314076, 3, 1, 0, 0], [115, 1.9746497717747147, 8.270429251254134, 3, 1, 0, 0], [120, 2.009363932452582, 8.63481325796916, 3, 1, 0, 0], [125, 2.031875328443325, 9.00222194794152, 3, 1, 0, 0], [130, 2.8100445929554043, 9.00222194794152, 3, 2, 0, 0], [135, 2.8622085063545484, 9.00222194794152, 3, 2, 0, 0], [140, 2.644787462805366, 9.00222194794152, 4, 2, 0, 0], [145, 2.6852145318744194, 9.00222194794152, 3, 2, 0, 0], [150, 2.6897814836225535, 9.00222194794152, 3, 2, 0, 0], [155, 2.7230979774882633, 9.00222194794152, 3, 3, 0, 0], [160, 2.7456362006974686, 9.00222194794152, 3, 2, 0, 0], [165, 2.6930222029757616, 9.00222194794152, 3, 2, 0, 0], [170, 2.7263404087800396, 9.00222194794152, 3, 3, 0, 0], [175, 2.0686504436886297, 9.372299611087985, 3, 2, 0, 1], [180, 3.0525160032944805, 13.486618882762608, 3, 1, 0, 1], [185, 1.9211712445168088, 13.936363306911247, 3, 1, 0, 1], [190, 2.594959536800445, 15.746719775034716, 3, 1, 0, 1], [195, 1.8752523892843957, 16.22545241657221, 3, 1, 0, 0], [200, 1.8857449502693673, 16.705125695121122, 3, 1, 0, 0]]",0.5150072
normal_trimmed_50.mp4,300,"tensor([[180.3945, 113.6719, 202.9141, 148.7500],
        [ 28.0312,  89.1250,  42.2969, 112.5117],
        [ 79.2188, 128.3594, 101.1406, 155.2188],
        [ 30.6562, 122.5781,  50.6406, 152.1484],
        [ 94.2891,  79.5703, 110.7266, 105.4141]])","tensor([[ 27.0938,  89.4131,  14.8046,  23.3668],
        [178.7504, 113.6262,  25.0088,  35.4318],
        [ 78.8156, 128.2919,  21.4771,  27.2066],
        [ 30.8853, 122.7079,  19.4541,  29.3884],
        [ 93.7851,  79.2800,  16.9470,  25.7449]])","[[205, 1.9409142092681884, 17.185660847797216, 3, 1, 0, 0], [210, 2.4660514414849195, 17.48468717805056, 4, 1, 0, 0], [215, 3.1052059362325295, 17.675071803681764, 5, 2, 0, 0], [220, 2.925628083687691, 18.681541692269406, 5, 1, 0, 0], [225, 3.4158717010499657, 18.972018869904172, 4, 2, 0, 0], [230, 3.795207664611534, 19.12091459632619, 5, 2, 0, 0], [235, 2.9300907298873256, 19.536824204563032, 3, 2, 0, 0], [240, 2.9165401998687437, 19.95581055732891, 3, 2, 0, 0], [245, 2.9295077188203438, 20.377683872314833, 3, 2, 0, 0], [250, 3.6117222407081067, 20.650363192931984, 3, 3, 0, 0], [255, 3.396234299629588, 20.796258677944934, 3, 2, 0, 0], [260, 2.5169175938225172, 20.817285485864865, 3, 2, 0, 0], [265, 2.4132187921990536, 20.85028477023755, 3, 2, 0, 0], [270, 1.9593947271201417, 20.80715021332811, 2, 1, 0, 0], [275, 1.473024079524284, 20.820662813657012, 1, 1, 0, 0], [280, 3.8264752976241616, 21.041254121368336, 2, 3, 0, 0], [285, 3.2691926243371063, 21.150871731444074, 1, 3, 0, 0], [290, 3.1753836311598436, 21.27168011700063, 1, 3, 0, 0], [295, 3.153818512186035, 21.403489785546654, 1, 3, 0, 0], [300, 3.6775816384308087, 21.65496478870377, 2, 3, 0, 0]]",0.53733134
normal_trimmed_39.mp4,100,"tensor([[283.3203,  56.5469, 293.6406,  73.9258],
        [271.5312,  80.3438, 287.0879, 105.2266]])","tensor([[283.0952,  56.5207,  10.5931,  17.3905],
        [271.5990,  80.3189,  15.5001,  24.3056]])","[[5, 0.0, -1, 1, 0, 0, 0], [10, 0.240665107245988, 0.0, 1, 0, 0, 0], [15, 0.23859000860606017, 0.0, 1, 0, 0, 0], [20, 0.2355346238155107, 0.0, 1, 1, 0, 0], [25, 1.7794366511952875, 1.5, 1, 1, 0, 0], [30, 0.23132773835357057, 2.0, 1, 1, 0, 0], [35, 1.5758079569561545, 2.3570226039551585, 1, 1, 0, 0], [40, 0.23369838504378984, 2.8284271247461903, 1, 1, 0, 0], [45, 1.0899651916494453, 3.031088913245535, 1, 1, 0, 0], [50, 0.2302573742496179, 3.4641016151377544, 1, 2, 0, 0], [55, 0.24270901710423232, 3.897114317029974, 1, 0, 0, 0], [60, 0.24308390061133878, 4.330127018922194, 1, 1, 0, 0], [65, 1.320422092464355, 4.4, 1, 1, 0, 0], [70, 1.0272979318116977, 4.715930449020639, 1, 1, 0, 0], [75, 0.8309889510584915, 5.059644256269407, 1, 1, 0, 0], [80, 0.7704403455254768, 5.425863986500215, 1, 1, 0, 0], [85, 0.7388441632348967, 5.81033561853358, 1, 1, 0, 0], [90, 0.7282120191638436, 6.209669878504008, 1, 1, 0, 0], [95, 0.7228073533811971, 6.6211781428987395, 1, 1, 0, 0], [100, 0.7304113217206876, 7.042726744663604, 1, 1, 0, 0]]",0.5245601
normal_trimmed_39.mp4,200,"tensor([[284.2930,  56.7656, 294.3672,  73.6484]])","tensor([[284.2235,  56.6555,  10.1464,  16.9868]])","[[105, 0.7432723091010681, 7.472616676907761, 2, 0, 0, 0], [110, 0.7772563466146636, 7.909487973314075, 1, 1, 0, 0], [115, 0.78424006112409, 8.35224520712844, 1, 1, 0, 0], [120, 0.802655559256903, 8.8, 1, 1, 0, 0], [125, 0.8134397779606957, 9.252026804976301, 1, 1, 0, 0], [130, 0.6092672939391264, 9.368030742904295, 0, 1, 0, 0], [135, 0.6082922414996403, 9.499473669630333, 0, 1, 0, 0], [140, 0.6065968790220495, 9.645724441429994, 0, 1, 0, 0], [145, 0.6002716188051522, 9.806120537705011, 0, 1, 0, 0], [150, 0.6179647702825264, 9.979979959899719, 0, 1, 0, 0], [155, 0.846439507317792, 10.461357464497615, 1, 1, 0, 0], [160, 0.8364786543292482, 10.943491216243562, 1, 1, 0, 0], [165, 0.8111876405614566, 11.42628548566856, 1, 1, 0, 0], [170, 0.7996166572386395, 11.909659944767524, 1, 1, 0, 0], [175, 0.7983627740646853, 12.393546707863734, 1, 1, 0, 0], [180, 0.8168492561531385, 12.877888025604198, 1, 1, 0, 0], [185, 0.837928313228673, 13.362634470792052, 1, 1, 0, 0], [190, 0.8325337922383085, 13.847743498491008, 1, 1, 0, 0], [195, 0.8223656580220554, 14.333178293735132, 1, 1, 0, 0], [200, 0.22442108060092872, 14.620533505997654, 1, 0, 0, 0]]",0.49857286
