time,uptime,CPU1,CPU2,CPU3,CPU4,GPU,used_ram,tot_ram,Power TOT
2024-06-03 19:57:25.830046,5:46:37.500000,25,22,21,22,8.6,2181504,4050824,3574
2024-06-03 19:57:25.830469,5:46:37.500000,25,22,21,22,8.6,2181504,4050824,3574
2024-06-03 19:57:26.831108,5:46:38.500000,35,40,44,43,7.6,2193456,4050824,3973
2024-06-03 19:57:27.832508,5:46:39.500000,29,35,29,30,0.0,2193524,4050824,2600
2024-06-03 19:57:28.833304,5:46:40.500000,12,10,8,10,1.8,2194388,4050824,2926
2024-06-03 19:57:29.834648,5:46:41.500000,6,8,6,5,0.0,2193644,4050824,2641
2024-06-03 19:57:30.835031,5:46:42.500000,21,21,18,19,0.0,2146896,4050824,3938
2024-06-03 19:57:31.836381,5:46:43.510000,18,16,21,19,0.0,2139432,4050824,2563
2024-06-03 19:57:32.837327,5:46:44.510000,16,15,17,14,0.0,2139680,4050824,2600
2024-06-03 19:57:33.838598,5:46:45.510000,4,2,4,1,0.0,2139804,4050824,2521
2024-06-03 19:57:34.839870,5:46:46.510000,4,2,5,2,0.0,2136844,4050824,2518
2024-06-03 19:57:35.841151,5:46:47.510000,31,50,37,28,43.4,2149892,4050824,4614
2024-06-03 19:57:36.930094,5:46:48.510000,43,50,45,59,0.0,2170640,4050824,4769
2024-06-03 19:57:37.931436,5:46:49.510000,67,71,79,75,0.0,2203016,4050824,3292
2024-06-03 19:57:38.932754,5:46:50.510000,63,90,61,73,0.0,2183228,4050824,5014
2024-06-03 19:57:39.933349,5:46:51.510000,69,67,72,79,0.0,1611088,4050824,4096
2024-06-03 19:57:40.934643,5:46:52.510000,46,30,69,17,0.0,1620448,4050824,3410
2024-06-03 19:57:41.935941,5:46:53.510000,49,47,70,45,0.0,1633300,4050824,3891
2024-06-03 19:57:42.937246,5:46:54.520000,43,28,30,51,13.6,1649216,4050824,3815
2024-06-03 19:57:43.938595,5:46:55.520000,12,59,48,10,0.0,1657304,4050824,3333
2024-06-03 19:57:44.939932,5:46:56.520000,14,52,22,32,0.0,1675608,4050824,3091
2024-06-03 19:57:45.941259,5:46:57.520000,24,45,23,10,26.9,1718704,4050824,3410
2024-06-03 19:57:46.942597,5:46:58.520000,34,10,68,8,17.8,1779808,4050824,3451
2024-06-03 19:57:47.944064,5:46:59.520000,22,30,35,25,0.0,1892212,4050824,3415
2024-06-03 19:57:48.945403,5:47:00.520000,20,21,52,27,7.0,1920400,4050824,3292
2024-06-03 19:57:49.946791,5:47:01.520000,15,20,40,48,11.1,1990064,4050824,3533
2024-06-03 19:57:50.948097,5:47:02.520000,16,38,58,16,16.0,2074912,4050824,3656
2024-06-03 19:57:51.949404,5:47:03.520000,47,28,41,32,19.5,2131416,4050824,3856
2024-06-03 19:57:52.950717,5:47:04.530000,21,25,68,27,3.5,2182008,4050824,3733
2024-06-03 19:57:53.952366,5:47:05.530000,27,34,31,45,0.0,2263440,4050824,3856
2024-06-03 19:57:54.953684,5:47:06.530000,46,25,25,53,0.0,2292896,4050824,3492
2024-06-03 19:57:55.954965,5:47:07.530000,9,12,82,25,0.0,2292728,4050824,4416
