time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model
2024-05-17 17:24:17.596206,0:08:06.900000,42,40,40,39,0.6899050662285007,0.0207739655945263,0,0.0,68.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,48.0,45.5,45.0,45.75,123,3656,OFF,MAXN
2024-05-17 17:24:17.596861,0:08:06.900000,42,40,40,39,0.6899050662285007,0.0207739655945263,0,0.0,68.5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,48.0,45.5,45.0,45.75,123,3656,OFF,MAXN
2024-05-17 17:24:18.567237,0:08:07.900000,19,45,46,33,0.6924151728142225,0.020772036243502108,0,0.0,2.3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,55.0,48.0,45.0,45.0,46.25,82,3333,OFF,MAXN
2024-05-17 17:24:19.564732,0:08:08.900000,9,6,9,3,0.6915205400185246,0.020772036243502108,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,46.5,45.0,44.5,45.75,41,2563,OFF,MAXN
2024-05-17 17:24:20.566931,0:08:09.900000,15,9,9,9,0.6906673802663359,0.020772036243502108,0,0.0,0.0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,46.5,45.0,45.0,46.5,41,2563,OFF,MAXN
2024-05-17 17:24:21.574632,0:08:10.910000,11,6,9,6,0.6906723175334204,0.020772036243502108,0,0.0,14.7,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,47.5,45.0,44.5,45.75,123,3292,OFF,MAXN
2024-05-17 17:24:22.569424,0:08:11.910000,12,10,9,10,0.6882678684633052,0.020772036243502108,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,46.5,45.0,45.0,45.75,41,2641,OFF,MAXN
2024-05-17 17:24:23.570827,0:08:12.910000,29,25,22,19,0.6878452384008784,0.020772036243502108,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,47.0,45.0,44.5,46.25,41,2641,OFF,MAXN
2024-05-17 17:24:24.572222,0:08:13.910000,14,14,10,7,0.6878718996431343,0.020772036243502108,0,0.0,19.5,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,47.0,45.5,45.0,46.5,164,3168,OFF,MAXN
2024-05-17 17:24:25.588839,0:08:14.910000,13,14,13,13,0.6879805195189916,0.02076046013735693,0,0.0,56.1,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,47.5,45.5,45.5,46.75,246,3938,OFF,MAXN
2024-05-17 17:24:26.574649,0:08:15.910000,20,10,16,10,0.6873228755433463,0.020759817020348865,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.5,47.0,45.0,44.5,46.75,82,2765,OFF,MAXN
2024-05-17 17:24:27.577908,0:08:16.910000,7,6,5,4,0.6873189257296787,0.020759817020348865,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.0,47.5,45.0,44.5,46.0,82,2889,OFF,MAXN
2024-05-17 17:24:28.575277,0:08:17.910000,15,15,10,5,0.6871658704500615,0.020189372234194917,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.0,47.0,45.0,44.5,45.75,41,2604,OFF,MAXN
2024-05-17 17:24:29.575645,0:08:18.910000,23,20,15,12,0.6870612003878717,0.020189372234194917,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.0,47.5,45.0,44.5,45.75,41,2683,OFF,MAXN
2024-05-17 17:24:30.576919,0:08:19.910000,41,29,35,34,0.6882313326868805,0.020189372234194917,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,54.0,47.0,45.0,44.5,46.75,41,2604,OFF,MAXN
2024-05-17 17:24:31.611906,0:08:20.920000,52,48,55,49,0.6481930589924421,0.019980359206573685,0,0.0,0.0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0.0,55.0,48.5,45.5,45.5,46.75,40,4899,OFF,MAXN
