time,uptime,CPU1,CPU2,CPU3,CPU4,GPU
2024-06-03 15:13:54.787213,1:03:06.450000,23,21,20,20,2.3
2024-06-03 15:13:54.787611,1:03:06.450000,23,21,20,20,2.3
2024-06-03 15:13:55.788010,1:03:07.450000,46,27,31,50,0.0
2024-06-03 15:13:56.789313,1:03:08.450000,12,4,2,1,0.0
2024-06-03 15:13:57.790416,1:03:09.450000,8,0,4,2,0.0
2024-06-03 15:13:58.791675,1:03:10.450000,17,17,14,22,2.3
2024-06-03 15:13:59.792489,1:03:11.450000,13,10,10,3,0.0
2024-06-03 15:14:00.793307,1:03:12.450000,20,29,32,21,0.0
2024-06-03 15:14:01.793912,1:03:13.450000,34,34,32,46,48.5
2024-06-03 15:14:02.795239,1:03:14.450000,13,19,15,23,0.0
2024-06-03 15:14:03.796495,1:03:15.450000,9,5,2,2,0.0
2024-06-03 15:14:04.797426,1:03:16.450000,10,5,16,8,0.0
2024-06-03 15:14:05.798612,1:03:17.460000,5,5,5,6,0.0
2024-06-03 15:14:06.799922,1:03:18.460000,8,5,3,1,0.0
2024-06-03 15:14:07.801196,1:03:19.460000,6,2,4,2,0.0
2024-06-03 15:14:08.802451,1:03:20.460000,7,2,4,2,0.0
2024-06-03 15:14:09.803744,1:03:21.460000,8,4,0,0,0.0
2024-06-03 15:14:10.805048,1:03:22.460000,9,2,2,0,0.0
2024-06-03 15:14:11.806390,1:03:23.460000,9,4,4,2,0.0
2024-06-03 15:14:12.807135,1:03:24.460000,4,2,4,2,0.0
2024-06-03 15:14:13.808347,1:03:25.460000,23,20,21,22,0.0
2024-06-03 15:14:14.809244,1:03:26.460000,8,1,4,2,0.0
2024-06-03 15:14:15.810499,1:03:27.470000,8,3,10,1,0.0
2024-06-03 15:14:16.811760,1:03:28.470000,5,3,4,2,0.0
2024-06-03 15:14:17.813051,1:03:29.470000,5,3,4,0,0.0
2024-06-03 15:14:18.814391,1:03:30.470000,5,2,2,2,0.0
2024-06-03 15:14:19.815685,1:03:31.470000,3,2,3,3,0.0
2024-06-03 15:14:20.816988,1:03:32.470000,5,2,3,3,0.0
2024-06-03 15:14:21.818309,1:03:33.470000,6,2,4,1,0.0
2024-06-03 15:14:22.819576,1:03:34.470000,23,22,16,16,0.0
2024-06-03 15:14:23.820929,1:03:35.470000,22,17,19,18,4.1
2024-06-03 15:14:24.821294,1:03:36.470000,6,5,3,2,0.0
2024-06-03 15:14:25.822556,1:03:37.480000,11,4,5,3,0.0
2024-06-03 15:14:26.823809,1:03:38.480000,3,4,3,2,2.3
2024-06-03 15:14:27.825121,1:03:39.480000,8,6,5,3,0.0
2024-06-03 15:14:28.826435,1:03:40.480000,11,7,6,7,0.0
2024-06-03 15:14:29.827702,1:03:41.480000,8,5,5,3,0.0
2024-06-03 15:14:30.828251,1:03:42.480000,8,6,10,17,0.0
2024-06-03 15:14:31.829343,1:03:43.480000,10,4,4,3,13.3
2024-06-03 15:14:32.830617,1:03:44.480000,10,2,6,3,0.2
2024-06-03 15:14:33.831938,1:03:45.480000,12,10,11,8,0.0
2024-06-03 15:14:34.833244,1:03:46.480000,10,2,5,2,0.0
2024-06-03 15:14:35.834513,1:03:47.490000,2,3,4,0,0.0
2024-06-03 15:14:36.835631,1:03:48.490000,9,6,5,6,2.3
2024-06-03 15:14:37.836894,1:03:49.490000,9,6,3,5,0.0
