                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7811,                 3.7547,                 1.4749,                0.41163,                0.45069,                0.42915,                0.20526,                 1.6395,                 3.0255,                 1.4088,              0.0033238,              0.0033238,              0.0033238
                      2,                 1.6449,                  2.457,                 1.3609,                 0.5434,                0.53284,                0.54857,                0.26602,                 1.6356,                  2.193,                  1.446,               0.006644,               0.006644,               0.006644
                      3,                 1.6699,                 2.0581,                 1.4146,                0.56259,                0.49626,                0.51044,                0.25237,                 1.7311,                 2.0788,                 1.5486,              0.0099509,              0.0099509,              0.0099509
                      4,                 1.6896,                 1.8269,                 1.4384,                0.65558,                0.53357,                0.58683,                 0.2853,                 1.7256,                 1.7169,                 1.5094,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6737,                 1.6563,                 1.4301,                0.70178,                 0.5936,                0.65508,                0.32989,                 1.6535,                 1.5592,                  1.499,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6292,                  1.521,                 1.4076,                0.70872,                0.61987,                 0.6784,                0.35179,                  1.656,                 1.5055,                  1.473,               0.009901,               0.009901,               0.009901
                      7,                 1.6135,                 1.4369,                 1.3907,                0.74787,                0.63607,                0.73641,                0.37951,                 1.6485,                 1.4214,                 1.5032,              0.0098812,              0.0098812,              0.0098812
                      8,                  1.605,                 1.3724,                 1.3833,                 0.7779,                 0.6901,                0.78266,                0.41514,                 1.5962,                  1.274,                 1.4364,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.5921,                  1.327,                 1.3824,                0.77309,                0.71023,                0.78739,                0.42216,                 1.6032,                 1.2054,                 1.4604,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.5751,                 1.2757,                 1.3681,                0.80915,                0.68266,                0.78499,                0.42823,                 1.5557,                 1.1908,                  1.405,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.5757,                 1.2375,                 1.3657,                0.79771,                 0.7358,                0.81575,                0.44672,                 1.5611,                 1.1091,                 1.4065,               0.009802,               0.009802,               0.009802
                     12,                 1.5429,                 1.2107,                 1.3498,                0.81078,                0.71828,                0.80938,                0.44805,                 1.5572,                 1.1188,                 1.3975,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.5425,                 1.1946,                 1.3518,                0.81429,                 0.7602,                0.83097,                0.45458,                 1.5466,                 1.0535,                 1.3943,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.5305,                 1.1614,                 1.3435,                0.82721,                0.76794,                0.84685,                0.47283,                 1.5289,                 1.0208,                  1.383,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.5228,                 1.1323,                 1.3309,                0.79392,                0.76393,                0.83221,                0.45979,                 1.5282,                 1.0522,                 1.3633,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.5176,                 1.1148,                 1.3283,                0.81648,                0.78308,                 0.8427,                0.47798,                 1.5177,                 1.0048,                 1.3779,               0.009703,               0.009703,               0.009703
                     17,                 1.5127,                 1.0985,                 1.3264,                0.81569,                0.77366,                0.85007,                0.48057,                  1.505,                0.99912,                 1.3777,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.5048,                 1.0721,                  1.316,                0.82165,                0.77189,                 0.8533,                 0.4837,                 1.4878,                0.97645,                 1.3445,              0.0096634,              0.0096634,              0.0096634
